Date,Close,High,Low,Open,Volume
2025-01-02,8.57,8.6,8.03,8.03,771000
2025-01-03,8.36,8.6,8.27,8.56,836400
2025-01-06,8.29,8.55,8.18,8.42,569800
2025-01-07,8.51,8.8,8.38,8.38,667900
2025-01-08,8.43,8.63,8.25,8.52,743900
2025-01-09,8.57,8.86,8.51,8.51,317000
2025-01-10,8.43,8.7,8.37,8.66,718200
2025-01-13,7.99,8.28,7.96,8.24,750800
2025-01-14,8.38,8.52,8.05,8.05,765400
2025-01-15,8.04,8.63,7.96,8.61,9457400
2025-01-16,8.02,8.28,7.98,8.15,1696900
2025-01-17,8.42,8.54,7.78,7.89,1411400
2025-01-20,8.44,8.44,8.24,8.42,392600
2025-01-21,8.21,8.75,8.18,8.38,1094400
2025-01-22,8.08,8.3,7.99,8.25,668800
2025-01-23,8.05,8.1,7.85,7.93,707800
2025-01-24,8.06,8.31,8.02,8.21,963600
2025-01-27,7.57,7.91,7.47,7.91,1172900
2025-01-28,7.69,7.75,7.38,7.6,826200
2025-01-29,8.0,8.07,7.7,7.7,878200
2025-01-30,8.65,8.67,8.27,8.28,1245300
2025-01-31,8.26,8.72,8.2,8.67,1307100
2025-02-03,8.32,8.6,8.19,8.27,1024500
2025-02-04,8.8,8.93,8.35,8.42,1269900
2025-02-05,8.59,8.88,8.5,8.75,1294700
2025-02-06,8.3,8.6,8.26,8.6,1291900
2025-02-07,8.01,8.53,7.99,8.46,1012000
2025-02-10,8.14,8.47,8.07,8.29,1204400
2025-02-11,7.99,8.17,7.88,8.0,1428100
2025-02-12,8.25,8.44,7.97,7.99,1033800
2025-02-13,8.08,8.27,7.98,8.27,1228600
2025-02-14,7.68,8.44,7.62,8.44,1700200
2025-02-18,7.61,7.81,7.55,7.8,1305900
2025-02-19,7.61,7.64,7.43,7.61,1985500
2025-02-20,8.16,8.21,7.53,7.68,1459900
2025-02-21,7.89,8.18,7.82,8.02,1305200
2025-02-24,8.05,8.13,7.69,7.89,1441100
2025-02-25,7.81,8.02,7.58,8.02,855900
2025-02-26,8.17,8.3,7.79,7.85,950600
2025-02-27,7.7,8.08,7.7,8.06,752900
2025-02-28,7.74,7.76,7.43,7.57,1977700
2025-03-03,7.76,8.08,7.74,7.94,674600
2025-03-04,7.77,7.91,7.39,7.79,893700
2025-03-05,8.34,8.36,7.73,7.75,1177000
2025-03-06,8.33,8.49,8.19,8.19,792900
2025-03-07,8.48,8.62,8.23,8.33,755100
2025-03-10,7.99,8.36,7.88,8.35,1284400
2025-03-11,8.83,8.87,8.16,8.16,1336800
2025-03-12,8.82,8.99,8.76,8.88,1527100
2025-03-13,9.64,9.69,8.79,8.79,1706500
2025-03-14,9.56,9.79,9.49,9.75,1168000
2025-03-17,10.11,10.19,9.61,9.61,1281600
2025-03-18,10.34,10.7,10.26,10.4,1667800
2025-03-19,10.36,10.46,10.06,10.23,988600
2025-03-20,10.08,10.28,10.02,10.11,1299300
2025-03-21,9.93,10.04,9.69,9.97,3094500
2025-03-24,9.95,10.07,9.78,9.99,1084500
2025-03-25,9.83,10.37,9.8,10.25,1141800
2025-03-26,9.68,9.96,9.65,9.87,626500
2025-03-27,9.96,10.13,9.74,9.91,862500
2025-03-28,9.65,10.08,9.55,10.02,1116400
2025-03-31,9.61,9.69,9.21,9.67,1001100
2025-04-01,9.47,9.63,9.26,9.57,810200
2025-04-02,9.56,9.6,9.26,9.37,478600
2025-04-03,9.06,9.17,8.49,8.6,1354200
2025-04-04,7.91,8.69,7.82,8.58,2197200
2025-04-07,7.73,8.34,7.48,7.7,1903300
2025-04-08,7.46,8.13,7.39,8.12,1569900
2025-04-09,8.36,8.47,7.63,7.63,1979000
2025-04-10,8.4,8.6,8.16,8.29,1365800
2025-04-11,8.72,8.99,8.64,8.7,1367300
2025-04-14,9.22,9.31,8.59,8.63,1493800
2025-04-15,9.2,9.35,9.13,9.28,804700
2025-04-16,9.3,9.61,9.16,9.48,1148900
2025-04-17,9.03,9.21,8.98,9.12,1066200
2025-04-21,8.91,9.44,8.72,9.29,921500
2025-04-22,8.41,9.03,8.4,9.0,1104600
2025-04-23,8.62,8.78,8.21,8.21,1343700
2025-04-24,8.62,8.74,8.53,8.67,798200
2025-04-25,8.59,8.65,8.33,8.4,887300
2025-04-28,8.63,8.63,8.42,8.55,910300
2025-04-29,8.64,8.8,8.46,8.55,1000500
2025-04-30,8.6,8.68,8.44,8.44,4601800
2025-05-01,8.13,8.42,8.12,8.39,943600
2025-05-02,8.14,8.28,7.94,8.24,884100
2025-05-05,8.32,8.47,8.04,8.4,822000
2025-05-06,8.79,8.8,8.34,8.5,1334000
2025-05-07,8.63,8.74,8.39,8.52,1319800
2025-05-08,7.65,8.78,7.65,8.78,3027300
2025-05-09,8.21,8.21,7.65,7.81,1676500
2025-05-12,8.14,8.25,7.89,8.08,1402200
2025-05-13,8.05,8.27,7.93,8.22,1332400
2025-05-14,7.85,7.97,7.71,7.97,1135400
2025-05-15,7.9,7.95,7.69,7.9,816600
2025-05-16,7.85,7.86,7.67,7.75,747900
2025-05-20,8.25,8.25,7.77,7.92,1482900
2025-05-21,8.25,8.36,8.11,8.26,1577900
2025-05-22,8.14,8.24,7.96,8.2,1139100
2025-05-23,8.1,8.26,7.95,8.19,1654800
2025-05-26,8.22,8.3,8.03,8.11,622800
2025-05-27,8.54,8.58,8.05,8.05,2100200
2025-05-28,8.74,9.03,8.43,8.51,1920900
2025-05-29,8.45,8.93,8.44,8.89,949700
2025-05-30,8.47,8.51,8.26,8.31,2071900
2025-06-02,9.41,9.57,8.75,8.83,3027100
2025-06-03,9.65,9.69,9.27,9.35,2142000
2025-06-04,9.93,9.95,9.65,9.66,1950700
2025-06-05,11.47,11.62,10.59,10.63,5145900
2025-06-06,11.31,11.59,11.08,11.55,2876700
2025-06-09,11.4,11.84,11.35,11.6,1889300
2025-06-10,11.45,11.64,11.29,11.44,2101000
2025-06-11,11.37,11.68,11.15,11.45,1624400
2025-06-12,11.22,11.6,11.19,11.48,1185300
2025-06-13,11.31,11.43,11.04,11.25,1201300
2025-06-16,11.23,11.51,11.11,11.17,1137000
2025-06-17,11.65,11.69,11.28,11.57,1753000
2025-06-18,11.43,11.88,11.35,11.61,1239200
2025-06-19,11.35,11.47,11.31,11.34,306300
2025-06-20,11.12,11.4,10.88,11.33,4452900
2025-06-23,11.1,11.5,11.04,11.09,1097000
2025-06-24,11.04,11.17,10.72,10.83,864500
2025-06-25,11.15,11.32,10.99,11.18,1067900
2025-06-26,11.41,11.43,10.99,11.3,958500
2025-06-27,10.99,11.1,10.83,11.02,1389200
