Date,Close,High,Low,Open,Volume
2025-01-02,96.71,98.98,95.81,98.98,286727
2025-01-03,100.1,100.18,96.52,96.67,371593
2025-01-06,99.74,103.41,99.74,102.45,282801
2025-01-07,100.58,101.58,99.93,100.45,246799
2025-01-08,95.48,100.19,94.08,100.12,609007
2025-01-09,93.03,95.44,92.53,95.31,268438
2025-01-10,94.26,94.73,88.37,92.27,741361
2025-01-13,89.6,92.81,89.51,92.5,540062
2025-01-14,91.26,92.2,89.61,89.93,408054
2025-01-15,93.04,95.28,91.83,92.66,331192
2025-01-16,90.44,93.44,90.01,92.5,500427
2025-01-17,88.24,92.05,87.85,91.1,637547
2025-01-20,94.57,97.47,90.0,90.0,668936
2025-01-21,89.53,92.45,87.04,92.4,673940
2025-01-22,90.58,91.0,88.17,89.08,418458
2025-01-23,91.72,92.35,90.66,90.66,370244
2025-01-24,90.78,92.18,90.63,91.51,201504
2025-01-27,90.02,90.09,87.86,89.05,490585
2025-01-28,86.35,89.61,86.01,89.19,527125
2025-01-29,87.58,88.3,83.8,86.49,538974
2025-01-30,87.21,91.58,86.65,87.87,646327
2025-01-31,85.05,89.65,84.05,86.03,992836
2025-02-03,82.76,83.8,73.7,75.0,1689065
2025-02-04,85.61,86.81,84.46,85.0,799952
2025-02-05,84.71,87.75,84.53,86.69,981283
2025-02-06,79.86,85.5,76.11,78.0,1553401
2025-02-07,83.15,84.57,80.44,80.5,887640
2025-02-10,80.09,83.29,79.51,82.45,741499
2025-02-11,80.51,81.0,77.99,78.39,440192
2025-02-12,82.36,82.65,79.33,79.33,672469
2025-02-13,81.95,83.01,81.25,82.94,320581
2025-02-14,85.25,85.3,82.19,82.19,643959
2025-02-18,88.0,88.71,84.6,85.0,706428
2025-02-19,90.0,90.95,88.09,88.89,633001
2025-02-20,89.99,90.05,88.83,89.8,531005
2025-02-21,88.58,90.99,87.51,90.04,813869
2025-02-24,90.84,93.88,89.01,89.9,950534
2025-02-25,85.93,90.34,83.35,90.0,1164500
2025-02-26,86.67,88.24,84.6,86.47,950013
2025-02-27,82.79,88.79,82.68,87.23,772300
2025-02-28,83.65,83.75,80.1,81.83,593490
2025-03-03,78.0,84.64,76.93,84.01,836995
2025-03-04,79.03,80.94,75.52,76.0,1040241
2025-03-05,86.89,88.18,79.62,79.62,953044
2025-03-06,87.4,89.74,84.63,85.9,942542
2025-03-07,85.99,89.47,83.89,87.56,635113
2025-03-10,81.11,85.54,79.91,84.01,586624
2025-03-11,78.44,81.63,76.5,79.52,1049242
2025-03-12,82.52,84.0,79.5,79.5,523804
2025-03-13,79.71,82.51,79.05,82.45,443393
2025-03-14,81.03,82.34,80.59,80.66,398778
2025-03-17,83.41,84.78,81.03,81.03,324966
2025-03-18,82.72,84.01,82.18,83.27,249384
2025-03-19,85.6,86.24,82.92,83.05,400528
2025-03-20,85.84,87.28,84.38,85.0,278659
2025-03-21,84.18,87.64,83.99,85.12,441545
2025-03-24,86.44,87.3,85.38,85.38,338287
2025-03-25,85.53,87.49,84.65,86.6,272119
2025-03-26,86.09,87.02,84.94,85.89,334948
2025-03-27,81.01,85.85,80.89,85.41,458963
2025-03-28,80.36,82.23,79.35,80.0,420335
2025-03-31,80.98,81.6,79.0,79.0,396221
2025-04-01,81.26,82.03,79.34,80.98,396941
2025-04-02,86.92,87.41,80.88,80.88,641694
2025-04-03,84.37,91.0,84.11,85.4,1271067
2025-04-04,76.1,83.54,74.26,83.0,1218787
2025-04-07,76.17,78.55,71.79,73.0,1064612
2025-04-08,75.28,79.95,74.3,79.86,797698
2025-04-09,85.51,88.0,74.6,74.6,978515
2025-04-10,78.93,84.0,77.58,84.0,599327
2025-04-11,81.12,82.09,77.08,78.44,463361
2025-04-14,84.35,84.55,82.32,82.76,378448
2025-04-15,85.3,86.71,84.02,84.51,367817
2025-04-16,84.64,85.68,83.1,83.93,232830
2025-04-17,83.67,85.18,83.34,85.0,318851
2025-04-21,83.02,83.93,82.3,83.1,199934
2025-04-22,84.02,84.55,82.18,83.25,350620
2025-04-23,87.52,89.46,86.68,86.68,587487
2025-04-24,89.68,91.18,87.4,87.76,370507
2025-04-25,91.21,91.72,89.93,89.93,310392
2025-04-28,92.37,93.19,90.9,91.73,275125
2025-04-29,92.95,93.1,90.9,92.36,332549
2025-04-30,91.12,91.79,89.41,91.65,406273
2025-05-01,82.54,93.16,82.5,93.16,1470415
2025-05-02,85.76,87.16,83.51,84.89,705666
2025-05-05,82.22,85.5,82.1,85.02,432373
2025-05-06,81.46,82.93,81.02,81.95,284206
2025-05-07,84.5,84.83,82.0,82.26,313496
2025-05-08,87.81,88.53,84.65,86.0,453283
