Date,Close,High,Low,Open,Volume
2025-01-02,56.11,57.18,55.82,56.75,113300
2025-01-03,56.26,56.76,55.69,56.38,57500
2025-01-06,56.15,56.94,55.96,55.96,84300
2025-01-07,56.32,56.74,56.04,56.22,80100
2025-01-08,55.13,56.23,55.12,56.12,79100
2025-01-09,55.52,55.61,54.76,54.84,74500
2025-01-10,54.43,55.6,53.89,55.6,133800
2025-01-13,53.18,54.28,53.12,53.85,89000
2025-01-14,52.43,53.46,52.14,53.21,99500
2025-01-15,51.8,52.88,51.58,52.64,148600
2025-01-16,51.64,52.0,51.48,51.78,102000
2025-01-17,51.9,52.19,51.34,51.48,106000
2025-01-20,52.76,52.88,51.88,51.88,51800
2025-01-21,52.44,52.94,52.13,52.76,105000
2025-01-22,52.65,52.76,51.9,52.76,95700
2025-01-23,53.2,53.73,52.58,52.76,174200
2025-01-24,53.79,53.96,53.16,53.17,92200
2025-01-27,54.54,54.58,53.51,53.57,121800
2025-01-28,54.15,54.76,53.69,54.54,90900
2025-01-29,54.41,54.74,53.77,54.45,83800
2025-01-30,55.09,55.56,54.7,54.92,84800
2025-01-31,54.13,55.37,54.09,55.05,212000
2025-02-03,51.95,52.3,47.29,47.29,263000
2025-02-04,52.68,53.23,52.36,52.72,187200
2025-02-05,51.72,52.69,51.65,52.69,146000
2025-02-06,51.51,52.5,51.49,51.79,79700
2025-02-07,51.83,51.96,51.19,51.73,81800
2025-02-10,51.28,51.8,51.25,51.56,86900
2025-02-11,50.86,51.82,50.68,50.87,98600
2025-02-12,50.89,51.07,50.27,50.67,64000
2025-02-13,50.72,51.49,50.59,51.29,99500
2025-02-14,50.53,51.13,50.28,50.61,82000
2025-02-18,51.25,51.25,50.23,50.52,78300
2025-02-19,50.98,51.39,50.52,51.2,117000
2025-02-20,50.53,50.9,50.19,50.9,100900
2025-02-21,50.03,50.68,49.99,50.38,76000
2025-02-24,49.96,50.33,49.82,50.04,68900
2025-02-25,50.38,50.52,49.73,50.06,85600
2025-02-26,50.95,51.06,50.37,50.38,110400
2025-02-27,49.04,49.83,48.08,48.82,291700
2025-02-28,48.97,49.31,48.53,49.29,155900
2025-03-03,49.13,50.25,48.91,49.1,168300
2025-03-04,48.43,49.04,47.92,48.27,172300
2025-03-05,49.62,49.85,48.23,48.51,144200
2025-03-06,48.93,49.5,48.83,49.1,139600
2025-03-07,49.24,49.4,48.63,48.63,94400
2025-03-10,48.68,48.9,48.29,48.9,120400
2025-03-11,48.16,48.89,47.67,48.11,139200
2025-03-12,48.5,48.75,48.16,48.51,95600
2025-03-13,47.72,48.71,47.57,48.48,168100
2025-03-14,48.4,48.43,47.72,48.23,83200
2025-03-17,48.88,49.04,48.32,48.4,77500
2025-03-18,48.56,48.99,48.38,48.99,67600
2025-03-19,49.45,49.58,48.53,48.53,101700
2025-03-20,49.26,49.58,49.09,49.09,81600
2025-03-21,49.34,49.45,48.73,48.99,154100
2025-03-24,49.86,50.19,49.69,49.73,101100
2025-03-25,50.07,50.37,49.79,49.96,94200
2025-03-26,49.34,50.54,49.19,50.07,117900
2025-03-27,48.78,49.32,48.65,49.32,64800
2025-03-28,48.77,48.93,48.46,48.77,95300
2025-03-31,48.54,48.84,48.03,48.54,165000
2025-04-01,48.57,49.06,47.98,48.52,94600
2025-04-02,49.44,49.48,48.32,48.49,70300
2025-04-03,48.34,49.21,48.34,48.86,146500
2025-04-04,46.54,48.13,46.48,47.84,164400
2025-04-07,45.89,46.76,43.93,43.93,212700
2025-04-08,45.41,47.54,44.91,46.53,147200
2025-04-09,48.77,48.96,44.8,44.83,224900
2025-04-10,46.39,48.81,45.82,48.81,148500
2025-04-11,47.05,47.16,46.13,46.39,67700
2025-04-14,48.07,48.3,47.35,47.92,96000
2025-04-15,48.31,48.99,48.2,48.31,111500
2025-04-16,47.32,48.37,47.01,48.2,85600
2025-04-17,47.68,47.93,47.38,47.53,56600
2025-04-21,47.77,47.77,47.09,47.24,56000
2025-04-22,48.2,48.62,47.68,47.85,125900
2025-04-23,48.8,49.67,48.8,49.05,84100
2025-04-24,49.15,49.49,48.8,48.8,66100
2025-04-25,49.21,49.32,48.75,48.88,38000
2025-04-28,49.54,49.58,49.25,49.55,48000
2025-04-29,49.44,49.73,49.39,49.62,54500
2025-04-30,49.67,49.74,48.55,49.16,70600
2025-05-01,50.27,50.48,49.71,49.99,58300
2025-05-02,50.98,51.66,50.89,50.97,77100
2025-05-05,51.4,51.63,50.64,50.99,54700
2025-05-06,51.8,52.12,51.07,51.07,93100
2025-05-07,52.79,52.95,51.91,51.91,78600
2025-05-08,53.78,53.83,52.82,53.06,77900
2025-05-09,53.31,54.12,53.21,53.78,104700
2025-05-12,54.77,54.85,52.17,54.03,128000
2025-05-13,55.18,56.24,54.42,55.14,200700
2025-05-14,55.74,56.56,55.31,55.48,314300
2025-05-15,56.78,57.0,55.81,56.2,154400
2025-05-16,57.05,57.3,56.52,56.83,126100
2025-05-20,56.65,57.19,56.28,56.64,91800
2025-05-21,56.65,56.98,56.14,56.61,109800
2025-05-22,55.79,56.77,55.72,56.44,100300
2025-05-23,55.7,56.04,55.15,55.27,107500
2025-05-26,56.04,56.14,55.58,55.81,62500
