Date,Close,High,Low,Open,Volume
2025-01-02,26.15,26.41,26.02,26.19,76900
2025-01-03,26.6,26.76,26.21,26.26,131900
2025-01-06,26.65,27.14,26.55,26.86,119600
2025-01-07,25.88,26.77,25.8,26.76,156500
2025-01-08,26.31,26.31,25.56,25.99,167700
2025-01-09,26.2,26.38,26.08,26.25,45300
2025-01-10,25.82,26.09,25.61,26.09,84700
2025-01-13,25.75,25.82,25.35,25.57,117200
2025-01-14,25.25,25.85,25.15,25.74,101900
2025-01-15,25.85,25.97,25.39,25.39,80600
2025-01-16,25.98,26.08,25.69,25.69,88600
2025-01-17,26.21,26.31,25.86,25.97,108100
2025-01-20,26.36,26.41,26.13,26.18,52600
2025-01-21,26.45,26.53,26.11,26.3,93100
2025-01-22,26.94,27.0,26.42,26.45,109100
2025-01-23,26.88,27.2,26.73,26.73,79500
2025-01-24,26.7,26.97,26.65,26.88,57900
2025-01-27,26.66,26.97,26.49,26.54,85000
2025-01-28,27.08,27.15,26.8,26.89,72400
2025-01-29,26.65,27.05,26.45,26.73,98800
2025-01-30,26.74,27.2,26.74,26.78,59500
2025-01-31,26.66,26.96,26.43,26.92,316400
2025-02-03,26.69,27.04,25.85,26.38,135800
2025-02-04,26.61,26.72,26.39,26.66,79200
2025-02-05,27.09,27.13,26.57,26.58,48600
2025-02-06,26.85,27.07,26.74,26.89,48700
2025-02-07,26.87,27.06,26.72,26.84,79600
2025-02-10,27.32,27.57,26.98,26.98,81300
2025-02-11,26.77,27.28,26.76,27.28,60500
2025-02-12,26.55,26.73,26.43,26.62,47200
2025-02-13,26.43,26.75,26.32,26.68,56200
2025-02-14,26.43,26.69,26.41,26.55,42600
2025-02-18,26.2,26.59,26.18,26.56,68100
2025-02-19,26.14,26.43,26.05,26.18,86100
2025-02-20,25.88,26.1,25.85,26.06,72900
2025-02-21,25.73,25.99,25.66,25.9,108400
2025-02-24,25.64,25.82,25.42,25.7,45600
2025-02-25,25.68,25.88,25.24,25.46,101600
2025-02-26,25.93,26.38,25.77,25.77,88700
2025-02-27,25.4,26.06,25.39,26.03,111600
2025-02-28,24.8,25.39,24.51,25.38,164000
2025-03-03,25.03,25.07,24.66,24.66,93100
2025-03-04,25.29,25.34,24.5,24.56,72900
2025-03-05,25.64,25.71,25.31,25.31,100600
2025-03-06,25.71,25.8,25.47,25.51,93500
2025-03-07,26.05,26.09,25.71,25.72,94700
2025-03-10,25.78,25.99,25.58,25.99,156900
2025-03-11,24.82,26.08,24.68,24.68,151400
2025-03-12,25.44,25.93,25.11,25.17,152500
2025-03-13,25.15,25.37,24.8,25.28,125300
