Date,Close,High,Low,Open,Volume
2025-01-02,1956.64,1983.35,1956.01,1978.41,33900
2025-01-03,1974.46,1983.35,1950.3,1965.82,35300
2025-01-06,1948.73,1983.35,1943.29,1983.35,63200
2025-01-07,1941.58,1958.62,1928.15,1941.47,68600
2025-01-08,1939.79,1950.31,1927.44,1927.44,56000
2025-01-09,1928.95,1940.34,1928.01,1933.89,20500
2025-01-10,1930.72,1944.68,1919.07,1934.92,169700
2025-01-13,1914.6,1932.05,1909.16,1916.42,123000
2025-01-14,1960.39,1967.39,1904.22,1919.83,390400
2025-01-15,1970.33,1977.42,1945.04,1960.41,129200
2025-01-16,1973.32,1988.0,1965.0,1980.17,62800
2025-01-17,1995.56,2008.5,1982.66,1988.88,102200
2025-01-20,1983.52,1993.31,1975.95,1993.31,29700
2025-01-21,2006.34,2009.48,1951.89,1951.89,299600
2025-01-22,2019.52,2027.8,2000.0,2006.34,47000
2025-01-23,2016.09,2028.31,2006.82,2006.82,38600
2025-01-24,2014.57,2026.63,2012.1,2018.43,36200
2025-01-27,1998.36,2016.0,1996.11,2007.35,41300
2025-01-28,1976.47,2012.17,1974.0,2012.17,31700
2025-01-29,1965.74,1991.32,1965.0,1975.0,35700
2025-01-30,1970.37,1982.48,1964.98,1965.34,18800
2025-01-31,1956.26,1977.5,1956.26,1970.58,34000
2025-02-03,1968.3,1983.95,1900.04,1905.01,45000
2025-02-04,1985.15,1997.77,1961.5,1970.01,58600
2025-02-05,1997.99,2019.96,1984.04,1996.0,36800
2025-02-06,2025.3,2036.23,2008.83,2013.97,51400
2025-02-07,2010.0,2035.0,2006.02,2035.0,85500
2025-02-10,1999.01,2015.57,1997.0,2010.81,102800
2025-02-11,1980.0,1999.99,1979.18,1999.01,72100
2025-02-12,2000.9,2010.04,1991.3,1994.97,48200
2025-02-13,2000.0,2008.5,1984.84,2005.2,59000
2025-02-14,2070.19,2119.64,2000.01,2000.01,90900
2025-02-18,2080.0,2109.95,2049.94,2050.0,87800
2025-02-19,2071.53,2086.17,2063.55,2080.0,75500
2025-02-20,2046.97,2073.43,2046.27,2057.82,37100
2025-02-21,2006.0,2062.76,2004.57,2038.83,46900
2025-02-24,2042.01,2051.76,2004.4,2011.83,51900
2025-02-25,2065.32,2066.79,2034.0,2038.99,38700
2025-02-26,2047.76,2065.02,2033.34,2054.82,55800
2025-02-27,2039.99,2060.0,2032.72,2058.01,48300
2025-02-28,2080.03,2082.29,2030.01,2035.0,103200
2025-03-03,2066.01,2099.12,2056.54,2099.12,74200
2025-03-04,2047.81,2068.6,2010.42,2065.17,58500
2025-03-05,2073.16,2077.43,2029.17,2045.0,65500
2025-03-06,2028.83,2061.08,2016.64,2047.34,49800
2025-03-07,2045.6,2048.29,2012.37,2021.81,41300
2025-03-10,1964.37,2016.0,1925.58,2016.0,130500
2025-03-11,1959.36,1980.77,1952.74,1954.54,66100
2025-03-12,1945.23,1966.28,1933.16,1966.28,58400
2025-03-13,1926.11,1945.4,1922.53,1936.4,54400
2025-03-14,1976.37,1979.58,1923.0,1923.0,54800
2025-03-17,2006.74,2016.48,1979.93,1982.05,44000
2025-03-18,1984.9,2007.07,1977.71,1991.58,44400
2025-03-19,2003.5,2003.5,1982.46,1998.0,24700
2025-03-20,1999.32,2026.49,1997.25,2003.93,30400
2025-03-21,1989.43,2008.54,1985.0,1999.32,145300
2025-03-24,2026.58,2028.74,2007.1,2007.1,35100
2025-03-25,2030.66,2051.68,2026.6,2037.98,27000
2025-03-26,2036.83,2044.4,2011.16,2039.08,28500
2025-03-27,2051.61,2061.3,2042.76,2043.46,41300
2025-03-28,2036.73,2052.0,2032.98,2049.01,35800
2025-03-31,2079.84,2089.65,2015.0,2035.91,52400
2025-04-01,2143.42,2147.31,2061.82,2061.82,47100
2025-04-02,2139.95,2153.96,2127.9,2143.42,51800
2025-04-03,2071.12,2136.97,2060.41,2129.96,63800
2025-04-04,1937.76,2041.24,1937.76,2025.51,65700
2025-04-07,1896.12,1955.7,1836.92,1892.48,75800
2025-04-08,1897.32,1968.2,1879.87,1924.06,65500
2025-04-09,1978.28,2016.8,1873.68,1892.78,83400
2025-04-10,1936.74,1977.92,1930.85,1950.16,63700
2025-04-11,1990.02,1997.66,1936.74,1936.74,40400
2025-04-14,2023.47,2029.0,2001.12,2001.12,35700
2025-04-15,2045.72,2052.11,2005.8,2005.8,33500
2025-04-16,2057.71,2059.98,2032.0,2042.58,42000
2025-04-17,2054.63,2065.0,2037.77,2047.52,27900
2025-04-21,2030.03,2046.7,2022.5,2027.81,13800
2025-04-22,2060.01,2081.58,2046.23,2046.23,22400
2025-04-23,2096.2,2102.36,2080.99,2095.0,19400
2025-04-24,2089.98,2135.54,2073.88,2100.0,48100
2025-04-25,2123.07,2124.48,2085.85,2085.85,21200
2025-04-28,2124.43,2156.88,2109.07,2118.38,24400
2025-04-29,2134.92,2140.29,2105.29,2111.85,26700
2025-04-30,2152.3,2154.24,2110.66,2134.92,48000
2025-05-01,2154.01,2168.0,2132.0,2146.0,42900
2025-05-02,2195.41,2205.0,2146.05,2201.01,45100
2025-05-05,2188.89,2220.0,2170.0,2195.41,45400
2025-05-06,2194.96,2199.74,2165.91,2165.91,239200
2025-05-07,2231.02,2233.32,2201.58,2203.0,42400
2025-05-08,2223.75,2244.99,2203.98,2231.92,53600
2025-05-09,2199.35,2238.1,2183.5,2238.1,39500
2025-05-12,2201.01,2252.93,2189.78,2252.93,31000
2025-05-13,2215.34,2233.99,2206.7,2224.1,30100
2025-05-14,2227.98,2235.54,2208.31,2226.43,24600
2025-05-15,2242.35,2257.0,2229.04,2229.04,26100
2025-05-16,2254.9,2260.44,2227.0,2227.0,27900
2025-05-20,2279.28,2291.66,2248.15,2248.15,39400
2025-05-21,2278.22,2287.15,2265.0,2286.77,37300
2025-05-22,2297.96,2299.02,2257.62,2281.0,34500
2025-05-23,2298.01,2303.22,2278.9,2295.42,25800
2025-05-26,2322.99,2330.03,2303.99,2315.0,9000
2025-05-27,2350.61,2385.66,2337.32,2340.99,52000
2025-05-28,2330.22,2368.0,2326.38,2350.61,58900
2025-05-29,2301.99,2357.99,2300.01,2357.99,43400
2025-05-30,2335.08,2350.0,2277.57,2306.41,146500
2025-06-02,2291.87,2329.97,2270.0,2328.01,68000
2025-06-03,2305.61,2307.3,2265.0,2307.28,50700
2025-06-04,2303.82,2326.19,2294.11,2322.96,57500
2025-06-05,2288.24,2309.99,2278.91,2308.0,41900
2025-06-06,2281.82,2294.35,2272.92,2293.08,24400
2025-06-09,2264.71,2303.94,2258.16,2281.82,47600
2025-06-10,2309.59,2311.99,2242.0,2264.71,54700
2025-06-11,2291.58,2321.4,2290.02,2310.52,39400
2025-06-12,2335.03,2335.99,2280.56,2291.58,34400
2025-06-13,2355.55,2358.28,2313.2,2314.21,37500
2025-06-16,2401.01,2417.42,2355.55,2355.55,50200
2025-06-17,2415.84,2421.09,2390.2,2394.97,33100
2025-06-18,2415.79,2447.3,2402.52,2415.84,33200
2025-06-19,2416.01,2417.94,2404.0,2415.79,11200
2025-06-20,2426.21,2435.58,2406.2,2420.0,106000
2025-06-23,2481.99,2484.99,2419.44,2421.09,45800
2025-06-24,2506.85,2508.57,2470.99,2470.99,57800
2025-06-25,2442.16,2504.46,2440.79,2492.4,65700
