Date,Close,High,Low,Open,Volume
2025-01-02,173.3,173.54,170.1,170.1,186700
2025-01-03,175.61,176.21,173.39,173.39,212900
2025-01-06,171.9,175.43,171.79,175.43,193400
2025-01-07,175.79,178.67,174.05,174.37,262700
2025-01-08,182.05,182.26,176.64,176.69,265300
2025-01-09,181.53,183.31,181.36,181.77,106400
2025-01-10,182.11,187.71,181.58,183.52,315800
2025-01-13,177.76,179.9,177.48,179.55,273700
2025-01-14,180.64,180.83,177.61,177.62,309700
2025-01-15,180.83,182.38,179.95,182.38,265500
2025-01-16,178.52,181.57,178.38,181.36,189300
2025-01-17,180.81,181.06,177.68,178.13,177200
2025-01-20,183.94,184.1,179.28,180.73,109400
2025-01-21,186.09,188.65,185.05,185.05,247200
2025-01-22,185.73,188.37,185.1,187.46,210000
2025-01-23,184.84,185.02,182.67,183.65,220400
2025-01-24,185.42,186.85,185.19,186.31,161500
2025-01-27,184.49,185.18,181.98,183.75,186700
2025-01-28,186.86,187.29,184.4,184.9,191500
2025-01-29,187.85,189.6,186.5,187.08,204200
2025-01-30,196.02,197.06,191.02,191.55,401900
2025-01-31,196.23,198.64,195.81,196.86,344400
2025-02-03,198.31,202.6,196.51,196.51,368600
2025-02-04,195.8,199.18,195.66,198.08,299300
2025-02-05,201.5,201.95,197.33,197.33,247400
2025-02-06,201.2,201.84,199.36,201.84,191000
2025-02-07,200.48,202.58,200.17,201.53,262100
2025-02-10,203.6,204.92,201.64,204.39,398500
2025-02-11,202.65,203.56,200.09,202.61,222400
2025-02-12,201.96,202.9,200.28,201.72,208400
2025-02-13,202.86,203.61,200.92,203.61,171800
2025-02-14,194.79,203.57,194.6,203.57,211900
2025-02-18,198.28,198.75,195.47,197.94,257300
2025-02-19,197.84,198.05,195.52,197.83,169700
2025-02-20,199.55,200.42,197.12,198.12,215300
2025-02-21,195.92,198.91,195.56,198.91,219700
2025-02-24,197.88,198.52,195.19,197.04,116800
2025-02-25,197.59,199.35,194.83,197.42,220800
2025-02-26,200.51,201.34,196.17,196.17,153400
2025-02-27,202.58,205.77,198.27,198.63,364300
2025-02-28,205.11,205.97,198.72,199.98,957800
2025-03-03,203.37,208.13,203.33,207.33,334700
2025-03-04,205.39,207.38,202.86,204.74,292600
2025-03-05,208.1,208.52,203.81,204.41,279700
2025-03-06,202.7,208.9,202.47,206.48,493800
2025-03-07,204.37,206.46,202.43,203.36,290100
2025-03-10,205.82,211.98,204.48,204.7,597000
2025-03-11,208.68,211.57,205.97,205.97,453000
2025-03-12,210.26,212.15,206.42,206.91,329300
2025-03-13,215.75,219.06,210.81,210.96,410600
2025-03-14,219.33,220.13,215.5,218.37,300500
2025-03-17,219.37,222.2,217.88,219.08,322100
2025-03-18,219.76,222.91,217.58,222.56,349700
2025-03-19,220.04,220.08,217.2,218.97,258300
2025-03-20,221.7,223.28,218.04,218.04,239700
2025-03-21,222.59,222.79,218.53,220.79,800200
2025-03-24,222.16,224.82,221.6,222.94,292800
2025-03-25,221.56,225.09,220.42,224.05,348500
2025-03-26,217.96,222.93,217.57,222.63,222100
2025-03-27,223.99,224.08,219.39,219.89,267500
2025-03-28,221.62,226.88,221.43,224.61,263600
2025-03-31,225.38,226.09,222.02,224.42,361100
2025-04-01,224.66,227.04,222.71,225.75,274100
2025-04-02,223.94,225.0,222.06,223.49,377200
2025-04-03,222.75,225.61,212.08,215.61,363700
2025-04-04,205.26,220.19,205.09,219.07,617100
2025-04-07,206.18,212.2,198.77,199.98,599600
2025-04-08,203.32,212.19,201.78,211.73,657400
2025-04-09,211.13,213.85,205.33,208.92,750200
2025-04-10,219.02,221.85,210.71,212.43,731000
2025-04-11,229.99,231.12,223.51,225.91,521300
2025-04-14,233.41,234.49,225.67,227.07,375000
2025-04-15,235.57,237.36,233.24,235.72,304100
2025-04-16,238.44,241.84,235.97,240.96,333100
2025-04-17,235.93,238.08,234.62,237.37,384600
2025-04-21,238.72,244.52,235.38,241.97,329700
2025-04-22,237.93,243.41,237.8,241.15,399400
2025-04-23,235.24,237.2,229.06,229.93,445000
2025-04-24,236.59,238.02,233.76,237.62,325600
2025-04-25,234.72,236.26,230.62,230.62,190000
2025-04-28,234.98,235.15,231.39,233.02,224300
2025-04-29,232.58,236.3,232.01,233.55,207900
2025-04-30,235.91,236.34,230.62,230.62,393800
