Date,Close,High,Low,Open,Volume
2025-01-02,23.74,23.77,23.34,23.47,812700
2025-01-03,23.88,24.04,23.8,23.81,385900
2025-01-06,23.77,24.01,23.74,23.91,720200
2025-01-07,23.99,24.2,23.82,23.98,744800
2025-01-08,24.01,24.18,23.72,23.72,272600
2025-01-09,24.29,24.36,23.99,24.01,277900
2025-01-10,24.11,24.47,24.07,24.28,809800
2025-01-13,23.95,24.3,23.79,24.18,1058900
2025-01-14,24.23,24.4,23.9,23.93,715000
2025-01-15,23.9,24.28,23.78,24.22,502100
2025-01-16,24.13,24.23,23.75,23.83,1815700
2025-01-17,24.53,24.54,24.04,24.04,535400
2025-01-20,24.49,24.71,24.43,24.43,638100
2025-01-21,24.35,24.55,24.31,24.52,838100
2025-01-22,24.2,24.5,24.11,24.25,721900
2025-01-23,24.09,24.4,24.07,24.3,425500
2025-01-24,24.03,24.17,23.95,24.1,536900
2025-01-27,23.72,23.95,23.45,23.88,677700
2025-01-28,23.14,23.63,23.02,23.45,522100
2025-01-29,23.61,23.77,23.09,23.14,726500
2025-01-30,23.78,23.91,23.62,23.62,312400
2025-01-31,23.25,23.9,23.24,23.8,1186000
2025-02-03,23.39,23.57,21.29,21.34,683300
2025-02-04,23.51,23.8,23.4,23.4,560000
2025-02-05,23.37,23.56,23.09,23.23,671500
2025-02-06,22.9,23.47,22.83,23.37,576600
2025-02-07,22.82,22.97,22.71,22.97,438600
2025-02-10,22.92,23.06,22.87,22.94,548000
2025-02-11,23.04,23.11,22.93,23.01,329300
2025-02-12,22.64,22.97,22.49,22.93,510900
2025-02-13,22.71,22.87,22.66,22.74,489500
2025-02-14,22.48,22.83,22.38,22.83,381200
2025-02-18,22.36,22.67,22.28,22.67,546400
2025-02-19,20.59,21.08,20.42,21.06,3080700
2025-02-20,20.05,20.61,19.86,20.58,2362000
2025-02-21,20.17,20.28,19.91,20.1,1460000
2025-02-24,20.23,20.84,20.21,20.36,1061100
2025-02-25,20.34,20.43,20.03,20.23,856800
2025-02-26,20.35,20.66,20.26,20.35,652100
2025-02-27,20.43,20.6,20.36,20.46,862600
2025-02-28,20.39,20.56,20.28,20.48,1216200
2025-03-03,20.39,20.64,20.25,20.4,729300
2025-03-04,20.05,20.29,19.83,20.25,1217800
2025-03-05,20.22,20.35,19.9,20.03,952400
2025-03-06,19.55,20.2,19.54,20.2,1646800
2025-03-07,20.03,20.16,19.54,19.63,1248500
2025-03-10,20.28,20.32,19.94,20.06,1095800
2025-03-11,20.4,20.53,20.25,20.28,988800
2025-03-12,20.8,21.1,20.38,20.62,1185500
2025-03-13,20.48,20.98,20.42,20.82,451000
2025-03-14,20.47,20.61,20.39,20.56,757600
2025-03-17,20.54,20.8,20.47,20.47,1778000
2025-03-18,20.59,20.63,20.2,20.53,580000
2025-03-19,20.7,20.9,20.53,20.54,655200
2025-03-20,21.19,21.24,20.64,20.75,708100
2025-03-21,21.41,21.46,21.04,21.19,905900
2025-03-24,21.5,21.68,21.38,21.39,1203500
2025-03-25,21.4,21.59,21.4,21.55,869600
2025-03-26,21.58,21.74,21.31,21.41,516800
2025-03-27,21.29,21.51,21.29,21.49,948200
2025-03-28,21.52,21.56,21.18,21.34,964100
2025-03-31,21.58,21.77,21.36,21.42,845200
2025-04-01,21.72,21.75,21.28,21.56,435200
2025-04-02,21.93,21.94,21.58,21.59,440400
2025-04-03,21.12,21.88,21.03,21.53,1100200
2025-04-04,20.24,20.84,20.11,20.83,1418000
2025-04-07,19.92,20.49,19.45,19.58,1400000
2025-04-08,19.91,20.48,19.62,20.48,1070600
2025-04-09,20.38,20.61,18.98,19.56,1569500
2025-04-10,19.63,20.21,19.3,20.21,684100
2025-04-11,20.19,20.35,19.63,19.63,899300
2025-04-14,20.71,20.73,20.24,20.42,959300
2025-04-15,20.58,20.83,20.56,20.71,717900
2025-04-16,20.59,20.94,20.58,20.73,905700
2025-04-17,20.8,20.99,20.62,20.79,1403400
2025-04-21,20.52,20.77,20.31,20.73,279600
2025-04-22,20.68,20.91,20.58,20.76,1129600
2025-04-23,20.94,20.98,20.64,20.91,494500
2025-04-24,21.15,21.46,21.04,21.06,480200
2025-04-25,21.3,21.33,21.07,21.09,785700
2025-04-28,21.13,21.41,21.03,21.21,1046900
2025-04-29,21.18,21.27,21.07,21.07,281600
2025-04-30,20.97,21.12,20.88,21.12,562500
2025-05-01,20.99,21.26,20.92,20.98,476500
2025-05-02,20.96,21.09,20.79,21.09,481900
2025-05-05,20.82,20.89,20.67,20.89,553400
2025-05-06,21.32,21.6,20.96,21.27,951900
2025-05-07,21.55,21.56,21.07,21.32,525400
2025-05-08,21.62,21.74,21.38,21.6,468100
2025-05-09,21.28,21.75,21.25,21.75,484100
2025-05-12,21.38,21.65,21.27,21.65,655900
2025-05-13,21.67,21.78,21.39,21.53,338000
2025-05-14,21.88,21.89,21.59,21.64,325000
2025-05-15,21.99,22.04,21.65,21.66,255700
2025-05-16,21.82,22.05,21.78,21.93,198800
2025-05-20,21.67,21.83,21.65,21.76,362800
2025-05-21,21.62,21.75,21.48,21.75,403500
2025-05-22,21.71,21.76,21.39,21.56,518400
2025-05-23,21.77,21.82,21.61,21.64,340800
2025-05-26,21.94,22.0,21.82,21.82,146300
2025-05-27,22.1,22.17,21.82,21.84,357100
2025-05-28,22.05,22.21,21.97,22.13,491900
2025-05-29,22.2,22.36,22.03,22.11,341100
2025-05-30,21.9,22.22,21.89,22.17,739700
2025-06-02,22.32,22.39,21.92,22.04,703300
2025-06-03,22.58,22.72,22.24,22.3,323400
2025-06-04,22.55,22.71,22.43,22.61,406900
2025-06-05,22.62,22.82,22.53,22.6,392500
2025-06-06,22.64,22.78,22.61,22.75,711500
2025-06-09,22.57,22.91,22.54,22.75,316600
2025-06-10,22.8,22.87,22.62,22.66,555900
2025-06-11,23.13,23.23,22.89,22.97,984000
2025-06-12,23.7,23.71,23.01,23.01,821800
2025-06-13,23.91,24.07,23.67,23.89,1295900
2025-06-16,23.59,24.02,23.53,23.8,790700
2025-06-17,23.46,23.7,23.21,23.35,795500
2025-06-18,23.14,23.39,22.97,23.33,753900
2025-06-19,23.22,23.34,23.11,23.23,246600
2025-06-20,23.28,23.31,23.04,23.31,1347400
2025-06-23,23.04,23.46,22.99,23.34,1798800
2025-06-24,23.08,23.23,22.86,23.01,559100
2025-06-25,22.9,23.13,22.81,23.1,616000
2025-06-26,23.38,23.4,23.0,23.07,626800
2025-06-27,23.46,23.68,23.34,23.39,733200
2025-06-30,23.52,23.66,23.36,23.52,267500
2025-07-02,23.37,23.55,23.15,23.55,757400
2025-07-03,23.3,23.41,23.19,23.39,296500
2025-07-04,23.4,23.53,23.24,23.35,117700
2025-07-07,23.24,23.42,23.13,23.42,743100
2025-07-08,23.36,23.37,23.06,23.22,1036900
2025-07-09,23.27,23.42,23.18,23.38,298800
2025-07-10,23.47,23.48,23.21,23.34,755400
2025-07-11,23.7,23.82,23.43,23.52,593300
2025-07-14,24.07,24.09,23.67,23.67,1447000
2025-07-15,24.15,24.24,24.03,24.08,458100
2025-07-16,24.21,24.39,23.95,24.22,384300
2025-07-17,24.23,24.36,24.15,24.29,490800
2025-07-18,24.42,24.5,24.34,24.36,239800
2025-07-21,24.04,24.47,23.99,24.42,521900
2025-07-22,23.87,24.13,23.85,24.07,433400
2025-07-23,24.16,24.31,24.07,24.1,486200
2025-07-24,24.27,24.3,24.06,24.16,593500
2025-07-25,24.34,24.37,24.15,24.32,307600
2025-07-28,24.41,24.45,24.22,24.36,388400
2025-07-29,24.64,25.29,24.36,24.77,933300
2025-07-30,24.41,24.7,24.3,24.53,653900
2025-07-31,24.58,24.74,24.21,24.21,649800
2025-08-01,24.74,24.78,24.3,24.51,418900
2025-08-05,24.64,25.09,24.52,24.86,409700
2025-08-06,24.74,24.78,24.57,24.69,268800
2025-08-07,24.97,25.03,24.8,24.8,262400
2025-08-08,24.93,25.07,24.84,24.99,194700
2025-08-11,25.05,25.1,24.79,24.93,319200
2025-08-12,25.11,25.18,24.94,25.06,263000
2025-08-13,25.19,25.21,24.99,25.0,222300
2025-08-14,25.36,25.37,25.09,25.17,248200
2025-08-15,25.35,25.42,25.16,25.2,230000
2025-08-18,25.18,25.36,25.12,25.18,518500
2025-08-19,25.27,25.39,25.12,25.19,419900
2025-08-20,25.49,25.74,25.34,25.39,780500
2025-08-21,25.33,25.52,25.31,25.46,354800
2025-08-22,25.75,25.78,25.41,25.41,588800
2025-08-25,25.66,25.87,25.64,25.73,516500
2025-08-26,25.34,25.73,25.33,25.73,616200
2025-08-27,25.45,25.57,25.24,25.3,344600
2025-08-28,25.4,25.46,25.19,25.35,230400
2025-08-29,25.62,25.73,25.39,25.46,226700
2025-09-02,25.59,25.64,25.4,25.57,218500
2025-09-03,25.7,25.7,25.44,25.59,358800
2025-09-04,25.59,25.83,25.47,25.62,475300
2025-09-05,25.89,25.9,25.52,25.52,427800
2025-09-08,25.23,25.68,25.14,25.58,850000
2025-09-09,25.57,25.64,25.12,25.12,283700
2025-09-10,25.51,25.7,25.33,25.49,804000
2025-09-11,25.51,25.69,25.47,25.51,431900
2025-09-12,25.81,25.81,25.5,25.54,280900
2025-09-15,25.77,25.87,25.62,25.83,500300
2025-09-16,25.98,26.14,25.75,25.8,399900
2025-09-17,26.16,26.26,26.03,26.03,553700
2025-09-18,26.11,26.28,26.02,26.13,625900
2025-09-19,26.1,26.2,25.95,26.13,2394500
2025-09-22,26.18,26.28,25.86,26.17,691500
2025-09-23,26.43,26.56,26.22,26.22,455900
