Date,Close,High,Low,Open,Volume
2025-01-02,43.31,43.6,43.12,43.44,532800
2025-01-03,43.96,43.99,43.43,43.43,600300
2025-01-06,43.41,44.1,43.28,44.03,591400
2025-01-07,43.32,43.72,43.14,43.43,763400
2025-01-08,43.48,43.57,42.91,43.18,534900
2025-01-09,43.18,43.43,43.16,43.43,257600
2025-01-10,42.71,43.38,42.6,43.12,704900
2025-01-13,42.02,42.58,41.87,42.58,1132700
2025-01-14,41.83,42.33,41.67,42.07,1017300
2025-01-15,42.03,42.55,41.82,42.08,827000
2025-01-16,42.78,42.86,41.9,41.92,1063200
2025-01-17,43.32,43.46,42.88,42.93,1023800
2025-01-20,43.19,43.6,43.11,43.24,148500
2025-01-21,43.61,43.81,43.24,43.36,695100
2025-01-22,43.27,43.61,43.12,43.61,482900
2025-01-23,43.55,43.69,43.12,43.29,711200
2025-01-24,43.4,43.56,43.32,43.47,537300
2025-01-27,44.2,44.38,43.15,43.15,746200
2025-01-28,44.06,44.42,43.76,44.17,661500
2025-01-29,43.71,44.42,43.43,43.94,527300
2025-01-30,44.1,44.47,43.87,43.87,661900
2025-01-31,44.32,44.69,44.05,44.1,716600
2025-02-03,44.34,44.58,43.51,43.54,769500
2025-02-04,43.64,44.22,43.62,44.15,785800
2025-02-05,44.43,44.6,43.78,43.91,773000
2025-02-06,44.66,44.71,44.21,44.7,655100
2025-02-07,44.63,44.79,44.42,44.79,579400
2025-02-10,44.62,44.92,44.28,44.47,481400
2025-02-11,44.22,44.52,43.86,44.52,548900
2025-02-12,43.96,44.25,43.83,44.15,719500
2025-02-13,44.19,44.55,43.95,44.11,975600
2025-02-14,44.08,44.4,44.05,44.33,588500
2025-02-18,43.66,43.93,43.1,43.91,1331600
2025-02-19,43.8,43.88,43.34,43.76,1119200
2025-02-20,43.11,43.81,42.44,43.81,1426600
2025-02-21,43.67,43.75,43.03,43.24,1522100
2025-02-24,44.3,44.32,43.69,43.69,593700
2025-02-25,44.15,44.56,43.7,44.31,699800
2025-02-26,44.4,44.75,43.86,44.31,609000
2025-02-27,44.54,44.78,44.15,44.29,681300
2025-02-28,45.42,45.52,44.52,44.71,2083900
2025-03-03,45.74,45.99,45.22,45.22,885700
2025-03-04,46.6,46.84,45.48,45.66,1083100
2025-03-05,46.38,46.8,45.16,46.38,1220200
2025-03-06,45.61,46.83,45.49,46.28,2014400
2025-03-07,46.35,46.62,45.42,45.53,881500
2025-03-10,46.95,47.02,46.36,46.39,3502300
2025-03-11,47.08,47.61,46.87,46.87,1143700
2025-03-12,47.13,47.35,46.76,46.87,3081200
2025-03-13,47.04,47.66,46.95,47.21,1927700
2025-03-14,47.12,47.24,46.75,47.06,753500
2025-03-17,47.56,47.63,46.98,47.19,783500
2025-03-18,47.81,47.85,47.29,47.65,761700
2025-03-19,48.02,48.22,47.72,47.83,937500
2025-03-20,48.38,48.46,47.89,48.06,1462500
2025-03-21,48.33,48.8,48.28,48.38,2615800
2025-03-24,48.09,48.54,47.79,48.32,958500
2025-03-25,48.41,48.76,47.95,48.07,889400
2025-03-26,47.97,48.7,47.73,48.41,824900
2025-03-27,47.74,48.26,47.53,48.01,787900
2025-03-28,47.38,47.75,45.8,47.58,1770000
2025-03-31,47.74,48.27,47.41,47.41,1231400
2025-04-01,48.4,48.55,47.58,47.86,975700
2025-04-02,48.44,48.55,48.06,48.14,1105300
2025-04-03,49.68,50.04,48.79,48.79,1139500
2025-04-04,48.41,50.55,48.13,50.05,2255700
2025-04-07,47.82,48.42,46.58,47.22,1804500
2025-04-08,47.61,48.55,47.15,48.27,1848200
2025-04-09,46.64,47.56,46.07,47.11,1823100
2025-04-10,46.79,47.1,45.83,46.34,1144400
2025-04-11,47.78,47.79,46.58,47.0,665300
2025-04-14,48.72,48.92,47.68,47.8,846100
2025-04-15,49.09,49.27,48.62,49.02,911600
2025-04-16,49.38,49.58,49.05,49.28,845800
2025-04-17,50.43,50.56,49.54,49.55,898300
2025-04-21,50.13,50.71,49.78,50.37,737000
2025-04-22,50.34,50.54,50.02,50.41,949500
2025-04-23,50.43,50.55,49.93,50.42,732000
2025-04-24,50.63,50.74,50.0,50.3,586400
2025-04-25,50.8,51.02,50.49,50.53,769500
2025-04-28,50.89,51.16,50.4,50.85,589100
2025-04-29,51.17,51.39,50.77,50.77,512800
2025-04-30,52.33,52.4,51.15,51.4,1547500
2025-05-01,52.26,52.69,52.02,52.22,591400
2025-05-02,51.58,52.05,51.16,52.02,1037300
2025-05-05,51.73,51.79,51.02,51.45,535500
2025-05-06,52.2,52.51,51.72,51.97,792000
2025-05-07,52.76,53.09,52.16,52.17,915700
2025-05-08,51.88,53.25,51.53,52.97,1251300
2025-05-09,50.36,51.93,50.13,51.93,990700
2025-05-12,49.14,50.35,48.44,50.0,1266200
2025-05-13,48.12,49.03,48.0,48.9,1345000
2025-05-14,48.13,48.21,47.52,48.01,869100
2025-05-15,49.03,49.04,48.34,48.34,690300
2025-05-16,48.99,49.33,48.89,48.96,940900
2025-05-20,49.98,50.27,48.98,48.98,1053600
2025-05-21,50.16,50.39,49.94,50.19,1212200
2025-05-22,50.17,50.51,49.88,50.06,1017100
2025-05-23,49.9,50.81,49.82,50.39,619300
2025-05-26,49.95,50.4,49.58,50.13,294000
2025-05-27,50.37,50.8,50.2,50.29,822500
2025-05-28,49.82,50.63,49.64,50.26,564100
2025-05-29,49.85,50.19,49.61,49.82,702500
2025-05-30,49.85,50.5,49.77,49.82,2386900
2025-06-02,50.09,50.32,49.63,49.75,612100
2025-06-03,49.51,50.34,49.18,50.34,884500
2025-06-04,49.03,49.54,48.94,49.51,2601500
2025-06-05,49.19,49.32,48.72,49.09,646200
2025-06-06,48.78,49.12,48.64,49.1,1233400
2025-06-09,48.41,50.56,48.04,48.5,3782500
2025-06-10,48.53,48.86,48.41,48.47,3142800
2025-06-11,48.22,48.9,48.19,48.86,4785500
2025-06-12,48.79,48.79,48.19,48.35,3058300
2025-06-13,48.91,49.0,48.62,48.96,760800
2025-06-16,48.56,49.22,48.38,48.89,1050900
2025-06-17,48.65,48.74,48.23,48.56,1062600
2025-06-18,48.64,48.89,48.5,48.73,990300
2025-06-19,48.37,48.77,48.16,48.55,220600
2025-06-20,48.3,48.76,48.03,48.74,1305300
2025-06-23,48.82,49.01,48.18,48.22,487200
2025-06-24,48.64,49.13,48.54,48.94,600600
2025-06-25,48.28,48.8,47.93,48.56,671400
2025-06-26,48.54,48.58,48.22,48.36,583500
2025-06-27,48.23,48.7,48.09,48.36,713000
2025-06-30,48.74,48.75,48.12,48.18,1135300
