Date,Close,High,Low,Open,Volume
2025-01-02,8.89,9.0,8.86,8.96,350100
2025-01-03,9.03,9.08,8.88,8.88,488500
2025-01-06,9.06,9.11,8.99,9.04,575800
2025-01-07,9.02,9.12,8.95,9.06,546700
2025-01-08,9.09,9.12,8.84,8.99,655700
2025-01-09,9.06,9.1,8.98,9.06,241100
2025-01-10,8.91,9.06,8.83,8.96,663100
2025-01-13,8.82,8.94,8.81,8.89,377900
2025-01-14,8.79,8.9,8.71,8.87,587800
2025-01-15,8.83,8.96,8.82,8.86,570400
2025-01-16,8.83,8.93,8.74,8.82,527500
2025-01-17,8.79,8.89,8.77,8.85,392600
2025-01-20,8.85,8.85,8.76,8.79,190200
2025-01-21,8.76,8.87,8.73,8.87,592600
2025-01-22,8.74,8.82,8.68,8.77,730900
2025-01-23,8.78,8.8,8.7,8.76,392900
2025-01-24,8.84,8.84,8.72,8.76,339600
2025-01-27,8.9,8.95,8.77,8.8,563200
2025-01-28,8.99,9.05,8.91,8.91,753100
2025-01-29,8.85,9.07,8.81,8.96,463200
2025-01-30,9.08,9.11,8.85,8.88,784300
2025-01-31,8.97,9.12,8.94,9.01,705800
2025-02-03,8.94,8.99,8.63,8.68,989700
2025-02-04,9.01,9.1,8.93,8.93,645900
2025-02-05,9.28,9.32,9.05,9.05,953800
2025-02-06,9.26,9.35,9.22,9.32,442000
2025-02-07,9.24,9.25,9.14,9.25,565900
2025-02-10,9.26,9.33,9.18,9.26,692800
2025-02-11,9.21,9.24,9.14,9.21,482800
2025-02-12,9.25,9.28,9.15,9.17,577800
2025-02-13,9.34,9.53,9.3,9.4,597400
2025-02-14,9.59,9.63,9.36,9.37,789200
2025-02-18,9.71,9.74,9.59,9.62,355200
2025-02-19,9.86,9.88,9.63,9.74,666900
2025-02-20,9.76,9.89,9.7,9.81,726800
2025-02-21,9.69,9.79,9.63,9.74,546800
2025-02-24,9.61,9.71,9.61,9.62,347200
2025-02-25,9.75,9.83,9.61,9.61,443500
2025-02-26,9.82,9.89,9.76,9.76,327800
2025-02-27,9.65,9.83,9.65,9.77,771100
2025-02-28,9.72,9.74,9.59,9.61,608100
2025-03-03,9.74,9.87,9.73,9.75,548900
2025-03-04,9.68,9.74,9.41,9.64,657200
2025-03-05,9.79,9.82,9.5,9.67,324100
2025-03-06,9.77,9.86,9.67,9.67,408700
2025-03-07,9.78,9.88,9.73,9.76,431000
2025-03-10,9.68,9.83,9.65,9.74,412200
2025-03-11,9.59,9.73,9.54,9.55,449300
2025-03-12,9.53,9.66,9.52,9.56,480700
2025-03-13,9.48,9.66,9.45,9.51,531600
2025-03-14,9.71,9.78,9.48,9.52,477300
2025-03-17,9.87,9.9,9.71,9.71,774300
2025-03-18,9.78,9.91,9.7,9.81,393900
2025-03-19,9.77,9.89,9.72,9.79,256400
2025-03-20,9.76,9.87,9.66,9.76,420700
2025-03-21,9.7,9.81,9.68,9.69,2103800
2025-03-24,9.68,9.8,9.67,9.7,391200
2025-03-25,9.77,9.82,9.7,9.75,569800
2025-03-26,9.66,9.85,9.65,9.78,295300
2025-03-27,9.66,9.79,9.63,9.64,221900
2025-03-28,9.63,9.67,9.52,9.67,339200
2025-03-31,9.74,9.83,9.59,9.6,645100
2025-04-01,9.82,9.87,9.6,9.72,414700
2025-04-02,9.74,9.8,9.65,9.69,407600
2025-04-03,9.82,9.92,9.59,9.64,1132500
2025-04-04,9.42,9.69,9.4,9.69,870100
2025-04-07,9.13,9.35,8.87,8.94,680400
2025-04-08,8.92,9.28,8.88,9.28,564200
2025-04-09,9.25,9.32,8.67,8.78,1172700
2025-04-10,8.95,9.3,8.83,9.14,563300
2025-04-11,8.85,8.94,8.74,8.94,517300
2025-04-14,9.13,9.16,8.96,9.0,497900
2025-04-15,9.23,9.28,9.08,9.13,456200
2025-04-16,9.17,9.37,9.15,9.19,383500
2025-04-17,9.52,9.55,9.2,9.2,1166700
2025-04-21,9.19,9.49,9.11,9.49,381600
2025-04-22,9.36,9.69,9.26,9.27,309700
2025-04-23,9.35,9.49,9.32,9.43,392400
2025-04-24,9.35,9.41,9.31,9.31,284900
2025-04-25,9.49,9.56,9.28,9.32,365300
2025-04-28,9.48,9.58,9.43,9.48,241900
2025-04-29,9.49,9.52,9.44,9.5,160800
2025-04-30,9.55,9.55,9.35,9.4,289400
2025-05-01,9.67,9.74,9.54,9.54,635900
2025-05-02,9.71,9.82,9.64,9.73,352800
2025-05-05,9.54,9.71,9.52,9.66,168000
2025-05-06,9.51,9.56,9.48,9.53,232000
2025-05-07,9.57,9.59,9.49,9.5,214700
2025-05-08,9.55,9.63,9.49,9.58,240000
2025-05-09,9.67,9.68,9.47,9.55,223400
2025-05-12,9.71,9.78,9.65,9.65,421700
2025-05-13,9.96,9.99,9.52,9.74,790100
2025-05-14,9.86,9.94,9.81,9.93,783300
2025-05-15,9.85,9.91,9.77,9.88,884700
2025-05-16,9.87,9.91,9.77,9.85,444000
2025-05-20,9.66,9.93,9.59,9.84,490700
2025-05-21,9.57,9.64,9.49,9.61,760800
2025-05-22,9.59,9.6,9.48,9.54,562700
2025-05-23,9.58,9.6,9.49,9.54,390700
2025-05-26,9.71,9.75,9.61,9.63,291700
2025-05-27,9.93,10.03,9.74,9.74,880200
2025-05-28,9.88,9.98,9.86,9.92,566400
2025-05-29,10.24,10.45,9.92,9.93,961600
2025-05-30,10.21,10.41,10.12,10.18,1116300
2025-06-02,10.23,10.43,10.19,10.28,431700
2025-06-03,10.42,10.45,10.21,10.21,512000
2025-06-04,10.35,10.49,10.33,10.42,706300
2025-06-05,10.35,10.46,10.28,10.46,387300
2025-06-06,10.48,10.5,10.32,10.37,351500
2025-06-09,10.54,10.62,10.46,10.46,375900
2025-06-10,10.49,10.62,10.48,10.54,235800
2025-06-11,10.45,10.6,10.42,10.49,867400
2025-06-12,10.59,10.63,10.44,10.45,481200
2025-06-13,10.57,10.67,10.49,10.55,411700
2025-06-16,10.6,10.71,10.56,10.56,439200
2025-06-17,10.59,10.66,10.49,10.61,788900
2025-06-18,10.6,10.68,10.53,10.55,688100
2025-06-19,10.57,10.65,10.53,10.59,101800
2025-06-20,10.68,10.71,10.55,10.64,774600
2025-06-23,10.68,10.77,10.61,10.61,556900
2025-06-24,10.56,10.74,10.56,10.68,365400
2025-06-25,10.57,10.59,10.41,10.48,544000
2025-06-26,10.53,10.58,10.37,10.55,542300
2025-06-27,10.45,10.59,10.41,10.45,563700
2025-06-30,10.5,10.55,10.41,10.47,744400
2025-07-02,10.47,10.57,10.44,10.53,600600
2025-07-03,10.45,10.55,10.34,10.45,524600
2025-07-04,12.25,12.37,11.55,11.55,2569300
2025-07-07,11.86,12.53,11.78,12.29,2402000
2025-07-08,11.79,11.9,11.7,11.77,1661000
2025-07-09,12.28,12.55,12.04,12.04,2620600
2025-07-10,12.05,12.26,12.04,12.19,815100
2025-07-11,11.97,12.08,11.91,11.98,573800
2025-07-14,11.99,12.11,11.97,11.98,486600
2025-07-15,11.89,12.13,11.84,11.99,784100
2025-07-16,11.66,12.09,11.64,11.91,876300
2025-07-17,11.72,11.82,11.62,11.72,1226100
2025-07-18,11.69,11.82,11.67,11.8,748300
2025-07-21,11.65,11.74,11.64,11.72,516500
2025-07-22,11.63,11.76,11.59,11.63,1228300
2025-07-23,11.64,11.66,11.53,11.65,1073900
2025-07-24,11.53,11.66,11.5,11.61,606600
2025-07-25,11.58,11.61,11.49,11.57,552300
2025-07-28,11.56,11.7,11.55,11.6,605500
2025-07-29,11.64,11.68,11.51,11.54,565600
2025-07-30,11.57,11.74,11.5,11.6,801100
