Date,Close,High,Low,Open,Volume
2025-01-02,44.25,44.5,44.03,44.28,155000
2025-01-03,44.49,44.66,44.25,44.25,176600
2025-01-06,44.07,44.57,43.98,44.56,370800
2025-01-07,42.91,43.79,42.75,43.41,463600
2025-01-08,43.78,43.86,42.76,42.87,214000
2025-01-09,43.84,43.93,43.4,43.4,71500
2025-01-10,42.63,43.93,42.6,43.61,344900
2025-01-13,41.9,42.56,41.75,42.48,427500
2025-01-14,42.02,42.1,41.71,41.78,377900
2025-01-15,43.08,43.18,42.43,42.43,221600
2025-01-16,43.35,43.51,42.94,43.09,216400
2025-01-17,43.18,43.76,43.1,43.38,258200
2025-01-20,43.29,43.6,43.09,43.31,91000
2025-01-21,43.42,43.67,43.09,43.3,324300
2025-01-22,43.45,43.56,42.95,43.56,357300
2025-01-23,44.01,44.14,43.47,43.47,264800
2025-01-24,44.35,44.51,43.72,43.95,237200
2025-01-27,44.23,44.38,43.95,44.03,502300
2025-01-28,44.52,44.61,44.11,44.17,250800
2025-01-29,44.8,45.05,44.64,44.69,180700
2025-01-30,44.98,45.24,44.67,45.18,267800
2025-01-31,44.93,45.09,44.55,44.92,583000
2025-02-03,42.76,43.13,40.39,40.55,591100
2025-02-04,43.07,43.61,42.45,42.75,830200
2025-02-05,42.93,43.22,42.55,43.09,246000
2025-02-06,43.04,43.18,42.81,43.14,242900
2025-02-07,42.79,43.83,42.45,43.83,444700
2025-02-10,43.01,43.35,42.74,42.88,348200
2025-02-11,42.67,42.86,42.44,42.79,414900
2025-02-12,42.98,43.07,42.21,42.58,468000
2025-02-13,42.85,43.43,42.79,43.13,360100
2025-02-14,43.32,43.54,42.68,43.01,417700
2025-02-18,43.54,43.78,43.06,43.29,400200
2025-02-19,43.95,44.0,43.08,43.44,199400
2025-02-20,44.37,44.42,43.82,43.82,347200
2025-02-21,43.28,44.66,43.24,44.55,410900
2025-02-24,43.3,43.75,42.76,43.27,377700
2025-02-25,42.95,43.35,42.61,43.3,350200
2025-02-26,43.27,43.62,42.99,43.11,167000
2025-02-27,42.9,43.51,42.87,43.34,393600
2025-02-28,43.93,43.96,42.86,43.18,780400
2025-03-03,43.52,44.57,43.36,43.86,224300
2025-03-04,42.81,43.34,42.46,43.06,472300
2025-03-05,43.11,43.26,42.41,42.62,202500
2025-03-06,42.38,43.02,42.32,43.02,283100
2025-03-07,43.17,43.3,42.31,42.31,415200
2025-03-10,42.2,42.88,41.82,42.51,362500
2025-03-11,41.87,42.26,41.51,41.96,313100
2025-03-12,41.89,42.37,41.72,42.09,172900
2025-03-13,42.08,42.29,41.66,41.67,342200
2025-03-14,42.41,42.81,42.25,42.25,380800
2025-03-17,42.81,43.03,42.52,42.6,322400
2025-03-18,42.23,42.81,42.12,42.81,205300
2025-03-19,43.03,43.14,42.25,42.25,238300
2025-03-20,43.2,43.33,42.72,42.72,216700
2025-03-21,42.9,43.17,42.41,43.17,904000
2025-03-24,43.5,43.63,43.05,43.05,954900
2025-03-25,43.87,44.15,43.66,43.68,296800
2025-03-26,43.36,44.4,43.3,43.81,349600
2025-03-27,43.61,43.67,43.22,43.35,174800
2025-03-28,42.68,43.63,42.66,43.52,156300
2025-03-31,43.2,43.3,42.12,42.41,409400
2025-04-01,43.53,43.85,42.51,43.22,185000
2025-04-02,43.47,43.59,43.0,43.12,353500
2025-04-03,42.25,43.42,42.13,42.63,348900
2025-04-04,40.07,41.46,39.68,41.35,583600
