Date,Close,High,Low,Open,Volume
2025-01-02,88.06,89.16,87.49,87.84,556900
2025-01-03,88.18,88.4,86.73,87.44,1136100
2025-01-06,88.74,90.06,88.37,88.86,1078200
2025-01-07,92.61,92.98,89.08,89.3,1853800
2025-01-08,93.3,93.39,91.89,92.37,1191700
2025-01-09,92.59,93.43,92.13,93.22,324100
2025-01-10,94.43,95.83,93.44,94.56,1428700
2025-01-13,93.87,98.57,93.47,94.73,1798400
2025-01-14,94.32,94.47,92.24,93.11,939300
2025-01-15,95.79,96.15,94.3,94.81,810900
2025-01-16,96.78,97.09,94.7,95.26,1073600
2025-01-17,96.83,97.84,96.15,96.97,1023500
2025-01-20,97.32,97.57,95.35,96.58,439600
2025-01-21,98.78,99.65,96.28,96.92,936600
2025-01-22,99.89,101.43,98.16,99.06,507000
2025-01-23,100.97,101.13,100.18,100.61,511800
2025-01-24,98.69,100.92,98.43,100.74,531400
2025-01-27,98.48,98.86,96.63,98.05,530900
2025-01-28,99.21,99.37,98.1,98.61,448000
2025-01-29,99.28,100.16,98.47,98.93,606500
2025-01-30,101.37,102.01,98.85,99.17,1001400
2025-01-31,94.69,102.24,94.43,101.61,2247000
2025-02-03,95.33,97.53,93.55,94.2,1751000
2025-02-04,93.62,94.99,92.39,94.87,1391200
2025-02-05,93.21,94.02,92.72,93.17,1378100
2025-02-06,93.46,94.42,92.47,93.88,777300
2025-02-07,94.4,95.65,92.6,93.7,634700
2025-02-10,96.17,96.73,94.57,95.71,1146600
2025-02-11,99.44,99.91,96.76,96.87,677600
2025-02-12,98.6,100.26,98.11,98.73,542500
2025-02-13,97.63,98.66,97.26,98.39,472300
2025-02-14,96.24,98.44,95.81,97.92,316900
2025-02-18,98.7,99.08,96.07,97.01,443200
2025-02-19,99.62,99.69,98.21,99.23,808100
2025-02-20,101.16,101.87,99.75,101.87,1404500
2025-02-21,97.23,101.13,96.88,100.44,1012000
2025-02-24,96.41,98.28,96.17,97.41,620600
2025-02-25,95.96,97.39,93.91,96.27,607700
2025-02-26,95.8,96.28,94.52,96.2,532800
2025-02-27,95.73,97.68,95.69,96.23,712500
2025-02-28,96.08,96.4,94.42,94.92,931300
2025-03-03,94.16,97.17,93.02,96.0,1681300
2025-03-04,92.99,94.06,90.66,91.96,1083000
2025-03-05,91.04,92.56,89.16,92.09,838600
2025-03-06,92.12,92.42,89.93,90.88,722600
2025-03-07,97.47,98.44,92.61,92.78,1573100
2025-03-10,98.62,100.25,96.86,97.18,1623400
2025-03-11,94.54,99.21,94.33,98.77,1000000
2025-03-12,95.13,96.13,93.76,94.63,694200
2025-03-13,94.79,96.82,94.35,94.82,637600
2025-03-14,96.17,96.55,94.7,94.92,516000
2025-03-17,97.44,98.29,96.44,96.47,511500
2025-03-18,97.55,98.01,96.69,97.91,437700
2025-03-19,99.25,99.76,97.42,97.42,516500
2025-03-20,100.64,101.4,98.53,98.71,907100
2025-03-21,100.87,101.41,99.65,100.42,1597400
2025-03-24,103.07,103.56,101.14,101.14,508800
2025-03-25,103.1,104.37,102.99,103.28,488500
2025-03-26,103.1,104.07,102.64,103.57,651600
2025-03-27,102.1,103.27,100.67,100.67,817700
2025-03-28,100.23,102.2,99.93,101.69,615200
2025-03-31,102.6,102.89,99.56,99.56,577400
2025-04-01,102.8,102.91,101.04,102.59,337900
2025-04-02,103.89,103.91,101.55,101.99,386400
2025-04-03,95.49,99.01,94.47,99.01,1508700
2025-04-04,89.1,92.77,88.14,91.86,1366200
2025-04-07,86.72,89.82,83.98,86.38,1684100
2025-04-08,84.62,89.82,83.77,89.82,1109100
2025-04-09,89.7,90.55,82.11,84.29,1124400
2025-04-10,83.29,87.75,81.95,87.75,1045700
2025-04-11,85.65,86.55,81.9,83.1,851900
2025-04-14,85.17,87.56,84.47,87.56,682800
2025-04-15,83.92,86.4,83.61,84.8,509000
2025-04-16,85.12,86.35,84.24,84.24,1068500
2025-04-17,87.22,88.16,85.27,86.16,923900
2025-04-21,88.45,88.63,86.55,87.22,695700
2025-04-22,92.88,92.91,89.39,89.39,959400
2025-04-23,92.04,94.18,91.07,92.93,937000
2025-04-24,93.44,93.57,91.93,92.92,797700
2025-04-25,94.25,94.64,92.25,92.25,771600
2025-04-28,94.93,95.04,94.0,94.05,554400
2025-04-29,94.83,95.19,92.95,94.29,723300
2025-04-30,91.78,94.17,90.59,94.02,994100
2025-05-01,92.69,94.16,91.16,91.16,673600
2025-05-02,93.82,95.59,92.98,93.15,866200
2025-05-05,92.22,93.04,90.9,93.04,565300
2025-05-06,93.06,93.76,92.1,93.0,787500
2025-05-07,93.49,93.62,91.9,93.29,1328600
2025-05-08,95.39,96.56,94.25,94.25,833000
2025-05-09,97.97,98.41,96.22,96.61,726900
2025-05-12,100.14,101.09,98.98,100.64,916700
2025-05-13,101.19,101.85,99.99,100.32,402500
2025-05-14,100.26,101.72,99.89,100.67,430500
2025-05-15,99.65,99.79,98.5,99.06,495200
2025-05-16,100.04,100.27,98.53,100.23,552100
2025-05-20,98.79,100.31,97.78,99.32,440200
2025-05-21,98.52,99.58,97.9,98.59,682600
2025-05-22,97.43,98.53,96.33,98.13,696700
2025-05-23,97.22,97.41,96.23,96.72,351500
2025-05-26,97.31,97.72,96.96,96.96,118900
2025-05-27,98.67,98.69,96.74,98.08,451500
2025-05-28,98.05,98.95,97.43,98.95,340000
2025-05-29,97.79,98.85,97.53,97.96,745700
2025-05-30,96.71,97.43,96.03,97.11,1028100
2025-06-02,98.25,98.8,97.01,98.38,657700
2025-06-03,99.65,99.84,96.41,97.44,495900
2025-06-04,98.44,100.32,96.46,99.61,722700
2025-06-05,99.06,99.64,98.38,99.23,411600
2025-06-06,100.2,101.22,99.53,99.68,530500
2025-06-09,99.94,101.06,99.7,100.33,716200
2025-06-10,102.29,103.07,100.4,100.4,457600
2025-06-11,105.18,105.44,102.32,102.92,777500
2025-06-12,106.65,106.93,104.38,104.38,533900
2025-06-13,110.49,110.7,108.0,109.35,947300
2025-06-16,109.64,111.62,109.36,109.67,701800
2025-06-17,110.64,111.34,110.03,110.95,504000
2025-06-18,110.25,112.37,109.8,110.85,502200
2025-06-19,111.35,111.77,110.65,110.79,209600
2025-06-20,111.15,111.87,110.19,111.85,920600
2025-06-23,107.91,113.36,107.56,112.14,881400
2025-06-24,107.5,109.05,105.87,105.88,637500
2025-06-25,109.25,109.98,106.91,107.2,634000
2025-06-26,110.35,110.59,108.81,109.19,314900
2025-06-27,108.15,110.87,107.33,110.38,808500
2025-06-30,107.54,108.15,106.83,107.5,365000
2025-07-02,109.29,110.0,107.61,109.46,471500
2025-07-03,109.66,109.85,108.06,108.06,321000
2025-07-04,109.85,110.25,109.32,109.32,192500
2025-07-07,108.81,110.24,108.23,110.17,687600
2025-07-08,109.78,110.39,108.31,108.6,824800
2025-07-09,108.74,110.13,108.71,109.35,1009900
2025-07-10,109.91,110.22,107.46,108.57,808500
2025-07-11,112.22,112.45,110.0,110.0,941000
2025-07-14,113.18,113.35,111.46,111.8,619200
2025-07-15,112.03,113.44,111.39,112.79,644200
2025-07-16,111.51,112.27,110.71,111.79,630500
2025-07-17,111.96,112.63,111.46,111.69,595500
2025-07-18,112.3,113.96,112.07,112.78,606100
2025-07-21,111.57,112.38,111.2,112.3,647600
2025-07-22,112.95,113.5,111.02,111.2,730800
2025-07-23,113.39,114.43,112.33,112.33,828700
2025-07-24,113.86,115.16,112.51,113.05,702700
2025-07-25,114.08,114.36,112.63,113.82,526900
2025-07-28,116.05,116.48,114.6,114.66,670300
2025-07-29,117.42,118.1,116.31,116.31,816100
2025-07-30,115.99,117.87,115.37,116.85,598700
2025-07-31,114.85,116.06,114.26,114.84,776300
2025-08-01,114.22,114.6,112.34,114.0,1074400
2025-08-05,116.27,116.47,114.32,115.68,1114800
2025-08-06,116.84,118.83,115.86,116.83,1009300
2025-08-07,116.07,118.69,116.02,117.68,841200
2025-08-08,116.95,117.28,115.79,116.39,1012100
2025-08-11,114.29,117.75,113.86,116.97,973700
2025-08-12,114.36,115.24,114.21,114.3,836300
2025-08-13,114.07,115.07,113.35,114.13,789200
2025-08-14,114.35,114.98,113.49,113.92,629100
2025-08-15,114.78,115.0,113.94,113.94,608000
2025-08-18,114.84,114.97,113.57,114.37,626400
2025-08-19,113.81,115.5,113.64,114.72,604000
2025-08-20,115.01,115.44,113.97,113.97,587600
2025-08-21,116.73,116.99,115.01,115.01,641900
2025-08-22,120.06,120.07,116.77,117.3,784500
2025-08-25,120.97,121.11,119.74,119.81,568300
2025-08-26,120.67,120.82,119.58,120.04,1119800
2025-08-27,123.12,123.2,120.64,120.72,831500
2025-08-28,123.6,123.85,122.37,123.12,573800
2025-08-29,123.88,124.51,123.28,123.53,671500
2025-09-02,122.2,124.26,120.38,123.61,1206800
2025-09-03,120.91,121.88,119.17,121.08,1155400
2025-09-04,120.93,122.04,120.44,120.75,906400
2025-09-05,120.9,121.31,119.9,120.15,1206100
2025-09-08,120.85,121.35,119.86,121.16,811200
2025-09-09,123.98,125.5,121.0,121.21,748900
2025-09-10,126.79,126.98,123.33,124.03,780300
2025-09-11,126.98,127.45,125.81,125.81,665100
2025-09-12,125.99,127.79,125.85,127.23,789600
2025-09-15,127.97,128.22,125.67,126.19,1000600
2025-09-16,130.94,132.08,128.02,128.06,990600
2025-09-17,130.14,131.39,129.49,130.84,854900
2025-09-18,129.7,130.48,128.53,130.25,613900
2025-09-19,126.62,130.99,126.46,130.99,2074700
2025-09-22,128.16,129.32,125.05,126.42,669800
2025-09-23,129.35,131.04,128.78,129.0,704800
2025-09-24,130.55,131.26,130.28,130.61,761000
2025-09-25,130.05,130.99,129.1,130.11,935500
2025-09-26,129.97,131.94,129.72,129.72,736900
2025-09-29,128.24,129.8,128.1,129.48,674500
2025-09-30,126.19,126.75,123.7,125.75,1153300
2025-10-01,125.58,127.36,124.37,126.34,1000000
2025-10-02,124.68,126.67,124.41,125.6,722200
2025-10-03,125.49,126.63,124.5,124.9,747400
2025-10-06,127.02,127.29,124.63,126.26,1273000
2025-10-07,126.7,127.41,124.53,127.0,715800
2025-10-08,124.91,126.83,122.47,126.83,1315600
2025-10-09,123.56,126.41,123.44,125.54,781600
2025-10-10,121.95,123.28,121.68,122.88,725200
2025-10-14,123.42,125.0,121.96,122.41,982100
2025-10-15,120.76,124.68,120.3,122.81,1223900
2025-10-16,119.06,121.04,118.66,120.78,973700
2025-10-17,119.15,119.74,118.6,119.22,1067300
2025-10-20,121.26,121.39,118.95,118.95,694600
2025-10-21,119.57,121.63,119.41,121.57,837500
2025-10-22,123.22,123.73,119.99,120.21,1149500
2025-10-23,125.62,127.84,125.04,125.24,1198100
2025-10-24,127.26,128.05,125.33,126.4,928800
2025-10-27,128.03,128.54,127.29,127.45,620900
2025-10-28,127.46,128.0,126.33,127.86,826900
2025-10-29,128.83,131.05,127.54,127.78,1084600
2025-10-30,127.84,129.34,127.75,128.99,800900
2025-10-31,124.05,129.47,123.47,128.27,1346300
