Date,Close,High,Low,Open,Volume
2025-01-02,173.19,175.67,172.47,173.56,24800
2025-01-03,173.65,173.72,171.9,173.19,23000
2025-01-06,173.22,174.58,172.5,174.0,30400
2025-01-07,170.4,175.36,169.82,175.0,38100
2025-01-08,171.31,171.5,168.25,169.42,42400
2025-01-09,170.99,171.51,170.57,170.58,12900
2025-01-10,170.64,171.25,164.87,164.87,53600
2025-01-13,170.25,171.14,168.7,170.2,54800
2025-01-14,171.0,172.7,169.52,169.52,39100
2025-01-15,173.23,173.98,172.01,172.63,39500
2025-01-16,174.0,174.37,172.59,173.23,29300
2025-01-17,175.65,176.29,174.5,175.0,62500
2025-01-20,172.41,176.54,171.33,176.54,16000
2025-01-21,174.41,174.56,171.27,173.32,45400
2025-01-22,176.17,176.28,173.02,174.42,51000
2025-01-23,176.78,177.11,173.93,175.21,27200
2025-01-24,176.33,180.5,174.98,177.09,54400
2025-01-27,174.55,176.78,170.94,170.94,40600
2025-01-28,177.55,177.89,173.44,173.44,63100
2025-01-29,170.04,176.33,165.1,176.19,145700
2025-01-30,170.0,172.57,169.03,170.5,47800
2025-01-31,167.33,170.94,166.81,170.09,55800
2025-02-03,171.05,172.67,162.43,162.43,86300
2025-02-04,170.65,171.99,168.68,168.68,33100
2025-02-05,173.72,174.05,171.23,171.9,37500
2025-02-06,171.05,173.71,170.6,172.91,55200
2025-02-07,165.4,171.91,163.66,171.91,158900
2025-02-10,170.07,171.16,165.25,167.33,59100
2025-02-11,167.64,169.12,167.11,168.59,74900
2025-02-12,167.43,168.74,166.0,166.4,82400
2025-02-13,163.82,169.39,163.71,168.55,136200
2025-02-14,163.13,165.15,162.99,164.8,107800
2025-02-18,161.98,163.13,160.46,163.13,154200
2025-02-19,159.96,161.94,158.63,161.94,163800
2025-02-20,157.42,159.57,156.79,159.15,110700
2025-02-21,155.11,158.47,154.25,158.47,102000
2025-02-24,151.4,155.95,151.3,155.95,221500
2025-02-25,153.75,154.52,149.96,151.39,114400
2025-02-26,152.66,156.36,151.61,154.01,110900
2025-02-27,160.59,162.48,154.0,154.11,175500
2025-02-28,157.69,163.22,154.57,160.59,209800
2025-03-03,161.07,161.22,156.0,156.0,236200
2025-03-04,156.1,161.77,155.95,158.95,187500
2025-03-05,160.17,160.98,154.89,154.89,110700
2025-03-06,157.86,159.37,154.25,157.79,186900
2025-03-07,162.05,162.31,157.58,157.58,155100
2025-03-10,160.84,161.31,158.23,159.04,135500
2025-03-11,158.99,161.65,158.39,159.59,107600
2025-03-12,158.48,161.67,157.93,160.81,165800
2025-03-13,155.66,158.57,155.04,157.35,107900
2025-03-14,159.52,160.52,156.82,156.82,85600
2025-03-17,159.59,161.37,158.74,158.74,90500
2025-03-18,156.78,158.72,155.25,158.52,51000
2025-03-19,159.38,159.99,157.35,157.68,48600
2025-03-20,157.56,159.31,156.29,159.06,51400
2025-03-21,159.84,161.2,155.0,156.48,71600
2025-03-24,158.82,161.2,158.25,161.0,92400
2025-03-25,159.87,162.32,157.98,158.76,128400
2025-03-26,158.3,160.56,158.03,159.79,37200
2025-03-27,156.63,158.13,155.27,158.13,43200
2025-03-28,155.24,156.25,154.48,156.25,101400
2025-03-31,158.66,158.74,153.2,154.95,79300
2025-04-01,156.55,158.37,154.6,157.6,69800
2025-04-02,160.89,160.89,156.0,156.0,87400
2025-04-03,163.21,163.84,155.62,155.62,168500
2025-04-04,158.26,161.71,156.74,160.25,154100
2025-04-07,155.75,160.8,151.16,152.77,104100
2025-04-08,160.54,163.76,158.85,160.79,219500
2025-04-09,171.22,171.55,159.03,159.77,142800
2025-04-10,162.12,168.07,160.0,168.07,97600
2025-04-11,163.75,164.04,160.75,160.75,48200
2025-04-14,166.26,167.2,163.26,164.23,77000
2025-04-15,172.6,172.63,166.38,166.38,157000
2025-04-16,173.79,173.98,169.77,171.02,116000
2025-04-17,172.65,173.87,170.85,173.87,92200
2025-04-21,173.65,173.79,170.23,171.99,44700
2025-04-22,174.5,175.93,173.24,174.5,105800
2025-04-23,177.0,182.13,176.4,177.94,91300
2025-04-24,180.66,181.24,175.65,176.55,76100
2025-04-25,180.85,181.37,177.97,180.62,35900
2025-04-28,182.5,183.04,180.71,180.93,43100
2025-04-29,186.28,186.44,181.16,182.49,55400
2025-04-30,186.15,186.94,182.9,183.4,75500
2025-05-01,186.59,187.35,184.64,186.2,58600
2025-05-02,186.91,188.1,184.86,188.02,67100
2025-05-05,188.12,189.46,184.72,184.72,60500
2025-05-06,188.04,188.47,184.32,187.93,41400
2025-05-07,188.58,190.0,187.57,188.61,95000
2025-05-08,196.34,199.67,187.3,190.0,127000
2025-05-09,192.44,196.32,189.84,196.32,104100
2025-05-12,197.17,197.99,190.01,194.26,116800
2025-05-13,201.35,201.44,195.77,196.7,111000
2025-05-14,199.15,201.0,196.5,200.53,100300
2025-05-15,199.94,200.01,197.85,198.33,89600
2025-05-16,197.98,199.85,197.9,199.85,79900
2025-05-20,199.2,199.98,197.95,198.32,81600
2025-05-21,196.65,198.84,195.86,198.41,50000
2025-05-22,196.51,199.0,194.27,196.18,46100
2025-05-23,195.68,196.99,193.5,194.12,47000
2025-05-26,197.88,198.3,195.46,196.49,11300
2025-05-27,196.81,197.44,193.88,193.92,92600
2025-05-28,196.8,198.24,196.03,196.33,38300
2025-05-29,195.24,197.8,194.3,197.41,67000
2025-05-30,195.43,196.78,194.8,194.96,218000
2025-06-02,197.12,198.36,194.85,195.94,78100
2025-06-03,198.99,198.99,195.6,197.92,44900
2025-06-04,199.14,200.0,197.85,198.8,64900
2025-06-05,196.89,200.0,196.41,198.33,66600
2025-06-06,198.11,199.53,197.42,197.9,44700
2025-06-09,199.51,200.0,196.5,198.37,71300
2025-06-10,196.46,200.0,195.85,199.51,61100
2025-06-11,199.65,199.69,195.39,196.55,50700
2025-06-12,200.9,200.98,198.18,198.95,66900
2025-06-13,200.63,201.35,198.84,198.84,69700
2025-06-16,200.53,202.91,196.89,201.0,86300
2025-06-17,200.7,201.3,199.51,200.44,44400
2025-06-18,201.25,201.32,199.57,201.0,56000
2025-06-19,201.3,202.0,199.54,201.16,24200
2025-06-20,198.2,204.57,197.34,204.42,100400
2025-06-23,199.29,200.02,196.67,198.16,39200
2025-06-24,204.27,204.79,198.89,200.14,62400
2025-06-25,202.34,205.0,201.68,205.0,68500
2025-06-26,199.4,202.34,198.35,202.34,75600
2025-06-27,200.65,201.53,198.51,198.91,40900
2025-06-30,202.52,202.54,199.41,200.74,46400
2025-07-02,198.07,200.76,196.6,198.58,57300
2025-07-03,201.15,202.26,197.77,197.77,26000
2025-07-04,201.07,201.56,199.91,199.99,25100
2025-07-07,201.63,202.65,200.12,202.65,16200
2025-07-08,201.38,202.0,199.49,201.63,28500
2025-07-09,200.13,202.48,198.0,200.42,43800
2025-07-10,199.42,200.02,195.71,199.54,33300
2025-07-11,195.99,199.19,195.3,199.19,43400
2025-07-14,199.29,199.29,192.96,196.63,30400
2025-07-15,197.15,199.92,196.92,199.92,27700
2025-07-16,201.0,201.08,197.52,197.85,46900
2025-07-17,202.13,202.13,199.48,200.72,29000
2025-07-18,201.24,202.33,200.0,201.57,19500
2025-07-21,201.27,202.5,199.71,200.05,22500
2025-07-22,199.23,200.21,198.48,200.0,47900
2025-07-23,203.19,203.63,199.23,199.23,35800
2025-07-24,204.3,205.0,202.24,202.88,65400
2025-07-25,208.47,208.76,203.86,204.28,72200
2025-07-28,206.79,212.45,205.65,208.45,58400
2025-07-29,205.52,208.63,204.57,208.63,33700
2025-07-30,205.03,205.8,203.38,204.66,39800
2025-07-31,205.64,207.38,203.73,206.04,56800
2025-08-01,203.51,205.53,202.46,202.46,24800
2025-08-05,206.76,207.61,203.57,204.07,60700
2025-08-06,194.1,203.17,193.88,198.81,55700
2025-08-07,195.77,204.07,195.5,202.0,120800
2025-08-08,199.65,204.85,198.0,198.0,85200
2025-08-11,196.15,200.79,196.01,199.9,36800
2025-08-12,197.91,199.83,196.64,196.64,112800
2025-08-13,199.95,201.0,196.5,199.89,44000
2025-08-14,196.5,200.22,196.23,198.63,36100
2025-08-15,197.97,199.15,197.04,198.25,40800
2025-08-18,198.61,199.71,197.22,197.97,51100
2025-08-19,196.39,199.18,196.0,198.61,66600
2025-08-20,194.0,196.63,193.73,196.63,45300
2025-08-21,194.71,195.89,193.24,194.0,84700
2025-08-22,194.59,196.63,194.44,195.51,65700
2025-08-25,192.21,195.08,191.44,195.08,29400
2025-08-26,190.03,193.48,188.43,193.48,91200
2025-08-27,189.0,191.94,187.89,191.94,43900
2025-08-28,189.99,190.17,188.12,190.03,50800
2025-08-29,189.57,190.43,187.46,190.18,57300
2025-09-02,188.12,188.8,185.72,188.51,42300
2025-09-03,188.69,189.38,186.0,188.12,51200
2025-09-04,189.9,190.75,188.05,188.05,60300
2025-09-05,190.8,192.14,189.31,190.0,82400
2025-09-08,190.18,192.08,189.71,190.59,32900
2025-09-09,189.65,190.18,188.51,189.84,35200
2025-09-10,186.58,190.6,186.05,189.69,39300
2025-09-11,183.18,186.47,182.9,186.47,73700
2025-09-12,187.0,189.96,183.7,183.7,64700
2025-09-15,187.0,188.11,186.0,186.77,32800
2025-09-16,184.28,188.51,184.0,188.51,55800
2025-09-17,184.98,188.26,184.96,185.0,47200
2025-09-18,185.13,187.41,184.38,185.18,66300
2025-09-19,183.29,184.5,181.97,184.4,134200
2025-09-22,181.67,183.09,181.3,182.76,49900
2025-09-23,180.55,181.5,179.32,180.77,54900
2025-09-24,179.26,181.35,178.62,180.45,43100
2025-09-25,178.63,179.85,176.92,178.39,79500
2025-09-26,175.17,181.22,174.65,178.45,82700
2025-09-29,177.8,178.21,176.31,176.94,72300
2025-09-30,179.65,181.62,177.65,177.74,68600
2025-10-01,179.0,181.65,178.05,178.75,59000
2025-10-02,181.59,181.82,178.46,179.66,65000
2025-10-03,183.5,184.62,181.9,181.9,52200
2025-10-06,185.65,185.8,181.35,185.01,46900
2025-10-07,184.85,186.62,183.78,185.82,48300
2025-10-08,186.06,186.68,184.49,186.0,44300
2025-10-09,185.61,186.61,183.3,185.81,27600
2025-10-10,182.12,186.98,181.86,186.65,32900
2025-10-14,181.36,182.46,178.01,180.99,52700
2025-10-15,180.51,182.99,178.05,182.19,58100
2025-10-16,182.11,183.39,176.49,181.91,107100
2025-10-17,180.42,182.5,180.22,181.17,46300
2025-10-20,178.31,181.15,178.07,180.46,63600
2025-10-21,180.07,180.67,177.09,177.09,54600
2025-10-22,178.56,180.12,178.05,179.87,71100
2025-10-23,176.14,178.6,175.97,178.47,44100
2025-10-24,178.27,179.62,176.01,177.33,41300
2025-10-27,178.46,180.35,177.75,179.77,31000
2025-10-28,178.35,180.51,176.5,178.83,76100
2025-10-29,170.17,178.97,169.3,178.96,72200
2025-10-30,168.66,172.1,168.34,169.67,42600
2025-10-31,169.84,170.79,167.62,168.81,75000
