Date,Close,High,Low,Open,Volume
2025-01-02,88.81,89.56,88.03,88.95,235000
2025-01-03,89.91,90.24,88.97,89.03,339500
2025-01-06,88.36,89.91,88.22,89.91,418200
2025-01-07,88.39,88.72,88.18,88.44,249100
2025-01-08,89.4,89.63,88.24,88.43,359700
2025-01-09,88.93,89.33,88.83,89.16,120500
2025-01-10,88.91,89.24,87.83,88.59,481700
2025-01-13,88.85,89.47,88.52,88.65,541500
2025-01-14,87.7,89.2,87.13,88.95,392800
2025-01-15,87.8,88.96,87.58,88.65,282200
2025-01-16,88.33,89.08,87.66,87.85,647500
2025-01-17,89.23,89.38,87.97,88.71,383100
2025-01-20,88.73,89.52,88.67,89.09,61000
2025-01-21,88.85,89.57,88.2,88.82,351800
2025-01-22,89.52,89.84,88.83,88.9,257300
2025-01-23,90.72,90.95,89.61,89.61,349300
2025-01-24,90.25,91.03,89.93,90.72,489100
2025-01-27,90.17,91.47,89.76,90.0,363500
2025-01-28,87.23,90.63,86.44,90.62,696000
2025-01-29,90.25,90.4,88.21,89.5,401900
2025-01-30,89.22,90.56,88.69,90.11,438100
2025-01-31,89.45,90.05,88.38,89.09,654300
2025-02-03,89.63,90.48,87.79,87.79,585100
2025-02-04,90.65,91.25,89.5,89.76,460200
2025-02-05,91.57,92.57,91.03,91.04,562500
2025-02-06,91.25,91.6,90.62,91.6,458900
2025-02-07,90.35,91.58,89.97,91.25,272200
2025-02-10,90.65,91.21,90.0,90.25,870500
2025-02-11,90.44,90.79,89.86,90.36,388900
2025-02-12,91.11,91.65,90.02,90.02,485600
2025-02-13,91.38,91.97,89.63,91.31,358600
2025-02-14,90.42,91.73,90.3,91.57,262400
2025-02-18,91.48,91.73,89.0,90.34,914500
2025-02-19,92.93,93.2,90.29,91.23,774600
2025-02-20,91.68,93.36,91.57,92.73,817800
2025-02-21,91.7,92.29,90.79,91.84,628000
2025-02-24,94.55,94.76,91.7,91.87,707800
2025-02-25,94.85,96.17,94.3,94.46,674000
2025-02-26,94.96,95.93,94.53,95.01,440700
2025-02-27,93.93,95.4,93.87,95.16,467800
2025-02-28,94.66,94.84,93.39,94.15,1094700
2025-03-03,94.59,95.33,93.97,94.55,500100
2025-03-04,94.11,95.17,94.0,94.42,719700
2025-03-05,94.49,95.42,93.48,94.04,546600
2025-03-06,95.24,95.65,94.05,94.32,684500
2025-03-07,95.07,95.67,94.81,94.96,316200
2025-03-10,94.74,95.76,93.97,94.64,531800
2025-03-11,91.68,94.74,91.15,94.74,911700
2025-03-12,92.33,92.67,90.27,91.67,676700
2025-03-13,91.97,92.87,90.38,92.11,1134400
2025-03-14,92.29,92.79,91.71,92.07,444900
2025-03-17,92.44,93.47,91.16,92.47,477400
2025-03-18,92.36,92.67,91.35,92.51,364700
2025-03-19,92.76,93.1,91.77,92.27,408600
2025-03-20,93.85,94.2,92.55,92.81,312700
2025-03-21,93.95,94.9,93.35,94.81,1196200
2025-03-24,94.94,95.41,93.96,93.96,454200
2025-03-25,95.59,96.03,94.53,94.9,273100
2025-03-26,95.3,96.21,95.22,95.37,412700
2025-03-27,95.8,96.23,95.21,95.52,265100
2025-03-28,96.67,96.95,95.67,95.81,392200
2025-03-31,98.96,99.11,96.27,96.27,547200
2025-04-01,98.91,100.41,98.25,98.73,532800
2025-04-02,100.48,100.82,98.52,98.81,588500
2025-04-03,100.58,102.44,99.67,99.67,790800
2025-04-04,99.31,101.65,98.95,100.08,658700
2025-04-07,95.89,97.66,95.76,95.8,941300
2025-04-08,95.87,98.45,95.14,96.84,809700
2025-04-09,95.68,98.8,95.04,95.54,689900
2025-04-10,95.68,96.07,93.63,95.13,667900
2025-04-11,97.75,98.29,94.93,95.58,505100
2025-04-14,99.2,99.64,98.19,98.25,1009800
2025-04-15,99.76,99.99,98.33,99.06,508500
2025-04-16,100.01,100.57,97.08,99.98,693700
2025-04-17,100.95,101.38,99.82,100.01,408200
2025-04-21,102.61,102.64,100.94,100.94,312800
2025-04-22,103.5,103.85,102.49,103.04,637900
2025-04-23,102.64,104.37,101.93,103.85,418300
2025-04-24,101.35,102.39,100.18,102.39,608300
2025-04-25,101.62,102.1,100.91,101.22,251000
2025-04-28,101.99,102.92,101.38,101.86,485100
2025-04-29,102.01,102.58,101.66,101.66,466200
2025-04-30,105.06,105.28,101.49,102.01,882200
2025-05-01,103.97,104.87,103.31,104.87,420700
2025-05-02,103.9,104.6,102.35,104.45,333500
2025-05-05,104.73,105.12,102.79,103.68,415900
2025-05-06,104.65,105.57,104.14,104.79,747200
2025-05-07,106.18,106.24,104.81,104.81,438700
2025-05-08,102.79,106.18,102.06,105.86,764000
2025-05-09,103.3,103.88,102.02,102.79,443000
2025-05-12,101.87,103.34,100.98,103.34,680400
2025-05-13,101.27,103.08,100.92,101.83,1088800
2025-05-14,100.62,101.74,100.24,101.39,410200
2025-05-15,102.24,102.43,100.78,100.96,517900
2025-05-16,102.79,102.94,101.78,101.93,411300
2025-05-20,104.98,105.11,102.54,102.79,449800
2025-05-21,104.17,104.96,103.19,104.58,471100
2025-05-22,104.2,104.8,103.63,104.21,738100
2025-05-23,104.67,105.12,104.18,104.2,307600
2025-05-26,105.45,105.83,104.58,104.86,164100
2025-05-27,107.02,107.83,105.35,105.35,446000
2025-05-28,106.88,108.37,106.09,106.77,385600
2025-05-29,105.88,107.2,105.87,106.74,371000
2025-05-30,106.23,106.75,105.22,105.68,828400
2025-06-02,107.14,107.28,106.03,106.03,420900
2025-06-03,106.09,107.37,105.13,107.02,384600
2025-06-04,104.62,106.77,104.59,105.93,452500
2025-06-05,104.64,105.63,103.85,104.52,280900
2025-06-06,103.89,104.6,103.55,104.51,270100
2025-06-09,102.84,103.98,102.61,103.25,257200
2025-06-10,104.13,104.3,102.85,103.21,508500
2025-06-11,103.23,104.65,103.2,103.87,391000
2025-06-12,103.96,104.2,102.73,103.31,312300
2025-06-13,103.55,104.22,103.33,103.64,282900
2025-06-16,103.41,104.45,102.92,104.12,418500
2025-06-17,103.0,103.46,102.45,103.14,345600
2025-06-18,103.09,104.1,102.87,103.41,295700
2025-06-19,103.33,103.8,102.72,103.21,177400
2025-06-20,102.87,104.02,102.66,103.85,806800
2025-06-23,104.31,104.6,102.62,102.62,375000
2025-06-24,105.89,106.31,103.73,104.81,425000
2025-06-25,104.71,106.17,104.21,105.7,334300
2025-06-26,104.79,105.12,104.25,104.65,329100
2025-06-27,105.37,105.69,104.26,104.66,546800
2025-06-30,106.16,106.36,104.31,105.37,397700
2025-07-02,102.64,105.88,101.94,105.61,809500
2025-07-03,104.36,105.0,102.61,102.73,410800
2025-07-04,104.64,104.97,104.17,104.49,106800
2025-07-07,105.28,105.8,104.15,104.74,360200
2025-07-08,105.26,106.08,104.53,105.29,319900
2025-07-09,105.11,105.43,104.14,104.74,419500
2025-07-10,104.17,105.36,103.64,105.04,449700
2025-07-11,103.72,105.79,103.39,104.12,453100
2025-07-14,104.86,105.25,104.17,104.36,386800
2025-07-15,103.24,105.33,103.23,105.0,351600
2025-07-16,104.0,104.52,103.18,103.32,326000
2025-07-17,103.29,104.26,102.64,103.98,325000
2025-07-18,104.3,104.5,103.08,103.56,373900
2025-07-21,103.99,105.06,103.89,104.68,359400
2025-07-22,103.17,104.98,103.04,104.03,333800
2025-07-23,103.06,103.64,102.78,103.05,295700
2025-07-24,104.44,105.23,103.04,103.04,327800
2025-07-25,104.93,105.32,104.2,104.56,234800
2025-07-28,103.95,104.54,103.68,104.54,357700
2025-07-29,105.27,105.56,103.9,104.19,189500
2025-07-30,104.9,105.85,104.48,105.43,180800
2025-07-31,105.14,105.49,104.67,104.84,282800
2025-08-01,104.58,105.41,104.39,105.14,340700
2025-08-05,106.09,106.7,104.9,105.28,329000
2025-08-06,106.25,106.51,104.45,105.64,256200
2025-08-07,104.57,106.96,104.5,106.26,361000
2025-08-08,104.15,105.44,103.82,104.83,344100
2025-08-11,105.16,105.35,103.43,103.79,356600
2025-08-12,105.22,105.51,103.92,104.83,271300
2025-08-13,97.83,103.27,97.76,102.63,831700
2025-08-14,97.64,98.72,97.17,98.38,428500
2025-08-15,98.37,99.08,97.5,97.8,414600
2025-08-18,100.15,100.4,98.34,98.45,449100
2025-08-19,100.54,100.81,99.68,100.34,701700
2025-08-20,101.32,101.93,100.33,100.41,453100
2025-08-21,101.32,101.86,101.03,101.48,494500
2025-08-22,99.02,101.48,98.96,101.32,557500
2025-08-25,99.34,99.84,98.6,99.84,406700
2025-08-26,98.32,99.31,98.07,99.17,961600
2025-08-27,97.73,99.16,97.12,98.32,634600
2025-08-28,96.98,97.74,96.63,97.45,512900
2025-08-29,97.69,97.74,96.73,97.61,408400
2025-09-02,96.77,97.55,96.39,97.55,408200
2025-09-03,97.72,98.14,96.85,96.94,399900
2025-09-04,96.4,98.18,94.51,97.95,594400
2025-09-05,96.93,97.02,96.11,96.5,683400
2025-09-08,95.92,96.93,95.62,96.93,667500
2025-09-09,95.5,95.88,95.08,95.63,591100
2025-09-10,95.21,95.65,94.78,95.34,457500
2025-09-11,96.26,96.38,94.92,95.19,519800
2025-09-12,96.34,96.4,95.69,96.08,338600
2025-09-15,94.2,96.43,93.97,96.05,431800
2025-09-16,93.11,94.36,92.39,94.23,701000
2025-09-17,92.65,93.63,92.56,93.24,921600
2025-09-18,92.99,93.24,92.25,92.7,511700
2025-09-19,93.58,95.03,92.75,95.03,1405600
2025-09-22,91.94,93.62,91.91,93.55,721200
2025-09-23,92.42,92.64,91.64,91.94,354100
2025-09-24,92.24,92.94,91.79,92.29,615300
2025-09-25,92.44,92.65,91.74,92.06,589100
2025-09-26,91.84,92.87,91.64,92.51,272400
2025-09-29,93.02,93.06,91.64,91.64,521400
2025-09-30,93.11,93.55,92.68,93.08,517800
2025-10-01,92.92,93.51,92.37,92.99,439100
2025-10-02,93.16,93.26,92.33,92.9,1144100
2025-10-03,92.71,93.13,92.36,92.89,453000
2025-10-06,91.08,92.86,91.05,92.86,666500
2025-10-07,91.68,91.76,90.38,91.21,384000
2025-10-08,91.82,92.45,91.44,91.76,486900
2025-10-09,92.02,92.38,91.51,91.97,326800
2025-10-10,93.18,93.22,91.93,92.43,584900
2025-10-14,94.29,95.12,92.74,93.1,1250000
