Date,Close,High,Low,Open,Volume
2025-01-02,14.43,14.46,14.14,14.14,313300
2025-01-03,14.36,14.52,14.2,14.43,252200
2025-01-06,14.93,15.31,14.36,14.37,577900
2025-01-07,14.77,14.96,14.54,14.96,298800
2025-01-08,14.3,14.86,14.29,14.72,268000
2025-01-09,13.93,14.24,13.9,14.2,120900
2025-01-10,13.66,13.9,13.41,13.9,254400
2025-01-13,13.6,13.71,13.5,13.57,130400
2025-01-14,13.8,13.93,13.65,13.65,139700
2025-01-15,13.52,14.13,13.52,14.03,162600
2025-01-16,13.25,13.52,13.15,13.48,178800
2025-01-17,13.33,13.52,13.18,13.23,145600
2025-01-20,13.69,13.7,13.31,13.31,100200
2025-01-21,13.51,13.75,13.46,13.58,91600
2025-01-22,13.3,13.52,13.28,13.49,171600
2025-01-23,13.3,13.42,13.3,13.33,132300
2025-01-24,13.34,13.44,13.25,13.26,160400
2025-01-27,13.05,13.32,13.01,13.3,148400
2025-01-28,12.07,13.0,12.06,12.91,504100
2025-01-29,12.11,12.31,11.89,12.13,754900
2025-01-30,12.23,12.42,12.13,12.18,246200
2025-01-31,12.02,12.32,11.95,12.32,260400
2025-02-03,11.3,11.52,10.92,11.01,536100
2025-02-04,11.44,11.66,11.2,11.43,340100
2025-02-05,11.04,11.44,11.02,11.41,550600
2025-02-06,10.69,11.16,10.67,11.09,750900
2025-02-07,10.61,10.89,10.49,10.74,538100
2025-02-10,10.85,10.95,10.61,10.61,303900
2025-02-11,10.39,10.8,10.3,10.8,485000
2025-02-12,9.97,10.3,9.95,10.26,596100
2025-02-13,10.07,10.13,9.91,9.96,360900
2025-02-14,11.64,11.66,10.1,10.11,1244600
2025-02-18,11.38,12.2,11.3,11.7,692700
2025-02-19,11.27,11.55,11.07,11.49,268400
2025-02-20,11.16,11.27,10.89,11.25,270400
2025-02-21,11.2,11.34,11.0,11.19,284700
2025-02-24,11.78,11.84,11.1,11.1,437800
2025-02-25,11.59,11.85,11.36,11.69,314100
2025-02-26,11.66,11.93,11.56,11.56,313400
2025-02-27,11.67,11.97,11.6,11.72,268400
2025-02-28,11.6,11.73,11.23,11.58,617700
2025-03-03,11.19,11.67,11.18,11.42,370900
2025-03-04,11.16,11.21,10.88,10.98,324500
2025-03-05,11.24,11.62,11.1,11.1,305600
2025-03-06,11.49,11.96,11.25,11.25,407000
2025-03-07,11.28,11.76,11.25,11.43,421000
2025-03-10,10.53,11.21,10.38,11.2,545300
2025-03-11,10.82,10.89,10.42,10.57,481200
2025-03-12,10.99,11.29,10.73,10.83,607500
2025-03-13,11.11,11.13,10.71,10.85,420000
2025-03-14,13.42,13.92,11.9,11.9,1066900
2025-03-17,12.96,13.43,12.65,13.24,505200
2025-03-18,12.79,13.02,12.66,12.74,260100
2025-03-19,12.74,13.07,12.7,12.73,230800
2025-03-20,12.73,13.01,12.61,12.61,243300
2025-03-21,12.55,12.76,12.45,12.57,208400
2025-03-24,12.31,12.81,12.22,12.73,209900
2025-03-25,12.11,12.37,12.0,12.34,138100
2025-03-26,12.08,12.36,12.0,12.14,220700
2025-03-27,12.17,12.38,11.92,11.98,134100
2025-03-28,11.72,12.27,11.6,12.06,209800
2025-03-31,11.83,11.92,11.6,11.6,232000
2025-04-01,11.71,12.01,11.66,11.92,178100
2025-04-02,11.74,11.98,11.55,11.55,151000
2025-04-03,11.18,11.62,11.14,11.39,313200
2025-04-04,10.55,11.04,10.19,10.9,629500
2025-04-07,10.59,11.03,9.83,10.0,388600
2025-04-08,10.62,10.98,10.45,10.84,362000
2025-04-09,11.36,11.61,10.36,10.5,393600
2025-04-10,11.23,11.33,10.82,11.11,239200
2025-04-11,11.18,11.31,10.98,11.01,91600
2025-04-14,11.41,11.53,11.11,11.18,160000
2025-04-15,11.27,11.45,11.17,11.45,78300
2025-04-16,11.21,11.43,10.96,11.2,125300
2025-04-17,11.33,11.37,11.14,11.14,103500
2025-04-21,11.1,11.36,11.01,11.36,154400
2025-04-22,11.5,11.55,11.24,11.24,167500
2025-04-23,11.35,11.91,11.26,11.55,132100
2025-04-24,11.83,11.91,11.42,11.43,99400
2025-04-25,11.77,11.85,11.65,11.68,120700
2025-04-28,11.78,12.07,11.72,11.76,128800
2025-04-29,11.68,11.8,11.56,11.78,152200
2025-04-30,11.6,11.67,11.36,11.67,171600
2025-05-01,11.87,12.18,11.74,11.74,229500
2025-05-02,12.5,12.55,11.91,11.92,202400
2025-05-05,11.97,12.55,11.9,12.41,243800
2025-05-06,12.16,12.16,11.75,11.93,148500
2025-05-07,12.17,12.73,12.0,12.2,282500
2025-05-08,12.9,12.94,12.08,12.35,445900
2025-05-09,14.55,14.78,12.84,13.27,922800
2025-05-12,14.21,14.99,13.69,14.89,511700
2025-05-13,14.42,14.89,14.21,14.39,255200
2025-05-14,14.4,14.55,14.14,14.46,184700
2025-05-15,14.72,14.8,14.3,14.3,286000
2025-05-16,14.81,15.05,14.63,14.87,207200
2025-05-20,14.77,15.02,14.63,14.63,180400
2025-05-21,15.0,15.33,14.69,14.69,235100
2025-05-22,15.03,15.06,14.71,15.04,114400
2025-05-23,14.99,15.15,14.83,14.88,180900
2025-05-26,15.13,15.24,14.99,15.03,67400
2025-05-27,15.2,15.28,15.02,15.06,111500
2025-05-28,15.66,15.7,15.1,15.3,214900
2025-05-29,16.23,16.38,15.63,15.65,414100
2025-05-30,15.58,16.19,15.57,16.19,1243000
2025-06-02,14.97,15.67,14.97,15.48,229500
2025-06-03,15.13,15.35,14.96,14.96,180900
2025-06-04,14.93,15.18,14.85,15.03,155300
2025-06-05,15.23,15.28,14.93,15.08,166300
2025-06-06,15.38,15.39,15.06,15.16,183000
2025-06-09,15.36,15.61,15.3,15.4,196900
2025-06-10,15.31,15.61,15.13,15.44,136900
2025-06-11,15.72,15.88,15.35,15.35,212200
2025-06-12,15.69,15.85,15.5,15.58,148300
2025-06-13,15.34,15.71,15.24,15.62,161000
2025-06-16,15.69,16.12,15.64,15.69,272400
2025-06-17,15.9,15.92,15.46,15.46,156400
2025-06-18,15.93,16.26,15.75,15.84,258000
2025-06-19,16.04,16.1,15.74,15.74,70900
2025-06-20,16.54,16.72,16.04,16.04,471300
2025-06-23,17.11,17.16,16.56,16.57,332700
2025-06-24,17.14,17.33,17.11,17.18,185000
2025-06-25,17.15,17.17,16.98,17.01,319000
2025-06-26,17.23,17.39,17.16,17.16,113800
2025-06-27,17.51,17.61,17.05,17.05,687300
2025-06-30,18.04,18.11,17.5,17.59,280400
2025-07-02,18.49,18.57,18.1,18.1,454300
2025-07-03,18.6,18.73,18.3,18.4,469200
2025-07-04,18.6,18.7,18.43,18.58,96300
2025-07-07,18.68,18.73,18.45,18.59,203100
2025-07-08,17.95,18.73,17.87,18.7,282300
2025-07-09,18.36,18.51,17.85,17.88,325700
2025-07-10,18.5,18.72,18.31,18.31,247000
2025-07-11,18.34,18.69,18.18,18.36,211100
2025-07-14,18.19,18.49,18.12,18.15,196300
2025-07-15,18.54,18.66,18.18,18.18,203500
2025-07-16,18.31,18.74,18.2,18.41,272300
2025-07-17,19.11,19.41,18.7,18.75,561700
2025-07-18,18.85,19.37,18.85,19.02,186100
2025-07-21,19.0,19.02,18.76,18.8,240900
2025-07-22,19.12,19.16,18.86,18.86,268900
2025-07-23,19.16,19.25,19.02,19.17,110300
2025-07-24,19.44,19.45,19.0,19.0,259400
2025-07-25,19.68,19.7,19.23,19.44,274500
2025-07-28,19.85,19.9,19.44,19.68,311900
2025-07-29,18.98,19.89,18.96,19.8,254800
2025-07-30,19.02,19.27,18.85,18.9,151100
2025-07-31,19.1,19.46,19.02,19.22,170300
2025-08-01,18.69,18.92,16.77,17.74,666900
2025-08-05,18.06,18.95,17.94,18.9,350700
2025-08-06,18.05,18.42,17.77,18.0,183200
2025-08-07,18.34,18.36,17.94,18.07,110900
2025-08-08,18.42,18.54,18.03,18.36,134200
2025-08-11,18.48,18.67,18.37,18.37,134100
2025-08-12,19.15,19.18,18.5,18.59,144700
2025-08-13,18.93,19.27,18.92,19.1,111500
2025-08-14,19.18,19.22,18.49,18.79,125800
2025-08-15,18.79,19.16,18.71,19.04,87400
2025-08-18,19.12,19.14,18.57,18.64,263800
2025-08-19,18.74,19.19,18.72,19.14,76600
2025-08-20,18.44,18.64,18.4,18.6,134400
2025-08-21,18.61,18.62,18.32,18.39,53000
2025-08-22,18.82,19.02,18.6,18.69,159800
2025-08-25,18.51,18.78,18.47,18.76,127600
2025-08-26,18.36,18.65,18.23,18.53,129400
2025-08-27,18.27,18.49,18.24,18.32,207300
