Date,Close,High,Low,Open,Volume
2025-01-02,77.88,78.0,76.66,77.17,43300
2025-01-03,78.8,78.85,77.81,78.51,43300
2025-01-06,77.64,79.33,77.64,78.67,45000
2025-01-07,77.11,78.35,76.84,77.6,58900
2025-01-08,76.57,76.84,75.83,76.74,43100
2025-01-09,76.85,76.88,76.08,76.38,21800
2025-01-10,75.82,76.59,75.41,76.51,43100
2025-01-13,76.27,76.82,75.3,75.78,44000
2025-01-14,76.21,76.88,75.87,76.27,63700
2025-01-15,75.74,77.83,75.67,76.15,72400
2025-01-16,75.59,76.13,75.18,75.54,45300
2025-01-17,76.32,76.55,75.34,75.34,52200
2025-01-20,76.6,76.99,75.49,76.36,16400
2025-01-21,77.16,77.72,76.22,76.58,46700
2025-01-22,77.31,77.99,76.88,77.2,34100
2025-01-23,77.84,78.06,76.69,77.46,94400
2025-01-24,77.99,78.71,77.64,77.71,58200
2025-01-27,77.37,78.33,76.89,77.55,44400
2025-01-28,77.36,78.04,77.13,77.37,44400
2025-01-29,76.53,77.3,76.12,77.09,90900
2025-01-30,77.2,77.5,76.29,76.29,68500
2025-01-31,76.2,77.53,75.64,77.04,109300
2025-02-03,73.78,74.53,71.85,74.53,156400
2025-02-04,74.22,75.66,73.97,73.97,83000
2025-02-05,74.22,74.67,73.72,73.72,65600
2025-02-06,73.02,74.58,73.01,74.58,71100
2025-02-07,72.28,73.54,71.75,73.02,123800
2025-02-10,73.08,73.91,71.8,71.82,61300
2025-02-11,73.38,73.85,72.72,72.82,67600
2025-02-12,72.9,73.99,72.74,72.96,75600
2025-02-13,73.43,73.83,72.94,72.94,78600
2025-02-14,74.0,74.32,73.28,73.86,113600
2025-02-18,74.31,74.55,73.81,73.82,80300
2025-02-19,75.16,75.29,73.84,74.62,39800
2025-02-20,74.52,75.36,74.17,75.36,69800
2025-02-21,75.23,75.39,74.3,74.64,97000
2025-02-24,76.25,76.74,74.85,75.63,63300
2025-02-25,75.96,76.47,75.2,76.11,64400
2025-02-26,77.51,77.58,76.03,76.03,58100
2025-02-27,77.07,78.81,76.18,77.43,126300
2025-02-28,75.36,77.33,74.86,77.14,80300
2025-03-03,74.26,76.36,73.82,75.14,75500
2025-03-04,73.88,74.94,73.66,74.02,75300
2025-03-05,76.45,76.72,74.23,74.23,102200
2025-03-06,76.99,77.24,75.19,76.25,77800
2025-03-07,77.72,78.31,76.99,77.0,110700
2025-03-10,77.48,78.08,76.82,77.9,97600
2025-03-11,75.92,77.87,75.37,77.53,75000
2025-03-12,75.57,76.52,74.95,76.39,72900
2025-03-13,73.88,75.75,73.12,75.66,77600
2025-03-14,74.16,75.06,73.81,74.04,121800
2025-03-17,75.07,75.14,73.9,74.03,113200
2025-03-18,73.95,75.54,72.66,75.54,85700
2025-03-19,74.09,74.82,73.74,73.83,122200
2025-03-20,72.96,74.17,72.7,73.9,162800
2025-03-21,76.33,79.21,75.33,77.57,670500
2025-03-24,76.81,78.39,76.58,76.58,242700
2025-03-25,79.86,80.25,76.6,76.84,158500
2025-03-26,76.93,81.66,76.9,79.87,151900
2025-03-27,76.42,77.92,75.89,76.79,71200
2025-03-28,75.76,76.45,74.66,76.4,109500
2025-03-31,75.87,77.63,74.5,74.55,152900
2025-04-01,75.83,76.86,75.0,75.03,64300
2025-04-02,76.97,77.12,74.99,75.5,93300
2025-04-03,77.62,77.83,75.96,76.21,103600
2025-04-04,75.02,77.64,74.8,76.78,135800
2025-04-07,74.1,76.29,72.68,73.85,122600
2025-04-08,71.58,75.57,71.2,75.57,80100
2025-04-09,75.08,75.97,71.14,71.16,133600
2025-04-10,71.88,74.48,71.46,73.91,81800
2025-04-11,73.58,73.82,71.88,71.88,46800
2025-04-14,75.52,75.87,74.47,74.65,76800
2025-04-15,74.45,75.79,74.1,75.52,104600
2025-04-16,74.97,75.3,74.31,74.31,75600
2025-04-17,76.26,76.41,74.76,74.97,57400
2025-04-21,76.86,76.96,75.55,76.01,40100
2025-04-22,75.77,78.44,75.48,77.17,91600
2025-04-23,76.31,77.49,75.72,75.9,66200
2025-04-24,75.99,77.43,75.71,76.47,75900
2025-04-25,76.47,76.62,75.73,76.42,61300
2025-04-28,77.02,77.14,76.24,76.99,69100
2025-04-29,76.12,77.0,75.7,77.0,52900
2025-04-30,76.85,76.89,75.63,76.09,76000
2025-05-01,74.26,76.8,74.19,76.8,86600
2025-05-02,74.25,75.34,74.08,74.83,47400
2025-05-05,73.06,74.29,72.8,74.29,65100
2025-05-06,73.45,74.14,72.76,73.06,32700
2025-05-07,80.39,80.49,75.72,76.25,250400
2025-05-08,80.49,81.36,78.08,81.15,171600
2025-05-09,81.47,82.44,80.45,81.15,135800
2025-05-12,83.08,83.19,80.22,82.51,187700
2025-05-13,81.14,83.33,80.74,83.04,75100
2025-05-14,81.05,81.61,80.28,81.16,63500
2025-05-15,80.85,81.06,80.2,81.04,54800
2025-05-16,80.79,81.22,80.38,80.83,46200
2025-05-20,82.13,82.92,80.35,80.35,158300
2025-05-21,77.78,78.34,76.98,77.93,562300
2025-05-22,79.57,79.78,77.63,77.94,174900
2025-05-23,78.9,79.07,78.31,79.04,202800
2025-05-26,79.28,79.87,78.53,78.9,34700
2025-05-27,79.68,80.58,79.19,79.4,188300
2025-05-28,79.89,80.16,79.42,79.66,112400
2025-05-29,79.74,80.36,79.51,79.99,131800
2025-05-30,79.78,80.11,79.53,79.53,149000
2025-06-02,79.61,80.24,78.91,79.89,90600
2025-06-03,80.31,81.69,79.32,79.61,160500
2025-06-04,79.65,80.85,79.37,80.31,132100
2025-06-05,79.3,79.99,79.09,79.69,26800
2025-06-06,78.58,79.56,78.42,79.56,79800
2025-06-09,78.7,79.05,78.18,78.95,44400
2025-06-10,79.39,79.57,78.46,78.77,60700
2025-06-11,79.07,79.67,78.89,79.4,68800
2025-06-12,78.97,79.28,78.72,79.21,37100
2025-06-13,78.09,78.88,78.07,78.65,81300
2025-06-16,77.86,78.67,77.79,78.67,60500
2025-06-17,77.55,78.04,77.13,77.86,41100
2025-06-18,78.13,78.54,77.43,78.1,54600
2025-06-19,77.99,78.28,77.59,78.13,35100
2025-06-20,77.35,78.19,77.07,77.99,298300
2025-06-23,78.87,78.87,77.39,77.46,97100
2025-06-24,79.14,80.02,78.67,78.91,62200
2025-06-25,78.81,79.24,78.25,79.14,97000
2025-06-26,78.77,79.45,78.52,78.81,76200
2025-06-27,79.06,79.38,78.58,78.87,157800
2025-06-30,80.47,80.69,79.26,79.44,124900
2025-07-02,81.28,81.88,80.22,80.69,115300
2025-07-03,81.53,82.06,81.14,81.24,80100
2025-07-04,83.0,83.17,81.25,81.5,61900
2025-07-07,82.09,83.27,82.05,82.87,86500
2025-07-08,82.96,83.35,82.12,82.12,98100
2025-07-09,82.92,83.27,82.38,82.65,63600
2025-07-10,83.19,83.8,82.48,82.48,95600
2025-07-11,82.36,82.99,81.48,82.92,102200
2025-07-14,81.84,82.88,81.61,82.48,72000
2025-07-15,81.76,82.52,81.7,82.13,113600
2025-07-16,83.03,83.44,81.83,82.28,57700
2025-07-17,87.42,87.65,83.04,83.54,243200
2025-07-18,89.67,89.76,87.78,88.18,190200
2025-07-21,88.87,90.4,88.8,90.06,89300
2025-07-22,89.93,90.13,89.17,89.17,72900
2025-07-23,88.81,90.57,88.71,89.95,63600
2025-07-24,88.01,89.26,87.9,88.79,46000
2025-07-25,88.2,88.89,87.68,88.18,41300
2025-07-28,88.05,88.57,87.36,88.2,43800
2025-07-29,88.29,88.89,87.88,87.93,86000
2025-07-30,87.47,88.59,87.23,88.2,74400
2025-07-31,87.03,87.58,86.31,87.47,86300
2025-08-01,86.3,86.86,85.96,86.55,59700
2025-08-05,85.3,86.29,84.97,86.29,145200
2025-08-06,91.01,92.35,86.14,86.18,276200
2025-08-07,89.64,91.53,89.32,91.22,124500
2025-08-08,91.56,91.6,89.91,89.91,96700
2025-08-11,92.63,93.08,91.04,91.04,118700
2025-08-12,92.79,93.05,92.17,92.62,134000
2025-08-13,93.35,93.64,92.72,92.75,58300
2025-08-14,93.25,93.62,91.57,92.96,93200
2025-08-15,94.38,94.98,93.19,93.3,227300
2025-08-18,94.71,95.37,94.09,94.66,65700
2025-08-19,94.91,95.18,94.37,94.57,66300
