Date,Close,High,Low,Open,Volume
2025-01-02,82.28,83.38,81.94,82.97,721600
2025-01-03,82.88,83.16,82.35,82.41,971500
2025-01-06,81.79,83.23,81.77,83.23,1962300
2025-01-07,81.6,82.57,81.54,82.26,1075500
2025-01-08,81.51,81.51,80.9,81.41,1563100
2025-01-09,81.58,81.84,81.29,81.32,250900
2025-01-10,80.12,81.44,79.87,81.01,2148500
2025-01-13,79.85,80.09,79.33,79.63,1154200
2025-01-14,80.08,80.24,79.47,79.92,586400
2025-01-15,81.79,82.7,81.34,82.29,1172300
2025-01-16,82.34,82.64,81.71,81.71,689000
2025-01-17,82.52,82.92,82.38,82.84,1316400
2025-01-20,82.32,82.9,82.29,82.52,310000
2025-01-21,81.92,82.69,81.71,82.22,1256300
2025-01-22,81.46,82.22,81.1,81.89,786700
2025-01-23,82.04,82.4,81.42,82.13,1072800
2025-01-24,81.36,82.21,81.27,81.83,958300
2025-01-27,81.98,82.1,81.0,81.0,719400
2025-01-28,81.59,82.31,81.15,81.91,1060800
2025-01-29,81.88,82.49,81.46,81.46,1089600
2025-01-30,80.95,82.35,80.93,82.19,2073900
2025-01-31,81.21,81.62,80.87,80.96,1531800
2025-02-03,80.47,81.27,78.87,78.89,4033600
2025-02-04,80.13,80.67,79.92,80.44,3160100
2025-02-05,80.24,81.2,80.18,80.2,3677700
2025-02-06,81.57,81.57,80.44,80.67,4572700
2025-02-07,81.95,81.97,81.3,81.54,2310200
2025-02-10,81.61,82.45,81.58,82.07,3106600
2025-02-11,80.91,81.5,80.59,81.5,2146900
2025-02-12,82.0,82.07,80.62,80.62,2255400
2025-02-13,76.01,78.87,73.76,78.87,6682800
2025-02-14,75.77,76.25,75.09,76.02,3741300
2025-02-18,76.36,77.11,75.58,76.08,4997400
2025-02-19,77.17,77.39,75.9,76.36,2746900
2025-02-20,75.76,77.18,75.69,76.98,5350200
2025-02-21,75.31,76.38,75.17,75.9,4968300
2025-02-24,76.16,76.58,75.34,75.34,5062400
2025-02-25,76.7,77.01,75.71,76.6,2328400
2025-02-26,76.65,77.23,76.3,76.73,2617900
2025-02-27,77.36,77.62,76.42,76.74,2304300
2025-02-28,78.8,78.91,77.01,77.53,3756800
2025-03-03,79.39,80.68,78.85,78.92,6371500
2025-03-04,78.23,78.89,77.24,78.65,2997500
2025-03-05,78.6,79.28,77.74,78.07,3619500
2025-03-06,77.35,78.62,77.31,78.03,2906600
2025-03-07,78.24,78.56,77.13,77.13,1986400
2025-03-10,76.85,77.75,76.25,77.4,5210000
2025-03-11,76.31,77.0,76.1,76.56,2679900
2025-03-12,77.15,77.58,75.92,76.61,3245600
2025-03-13,76.76,77.65,76.65,76.98,3366200
2025-03-14,77.86,78.0,76.99,77.23,2530700
2025-03-17,79.01,79.19,77.8,77.92,4017800
2025-03-18,79.01,79.24,78.45,79.14,2229600
2025-03-19,79.52,79.92,79.03,79.03,1056900
2025-03-20,79.46,79.97,78.91,79.15,1615900
2025-03-21,78.91,79.9,78.91,79.39,3551600
2025-03-24,80.49,80.5,79.31,79.41,2357000
2025-03-25,80.58,81.01,80.45,80.62,652900
2025-03-26,79.96,81.11,79.81,80.66,866500
2025-03-27,80.08,80.31,79.6,79.82,922600
2025-03-28,79.44,80.12,79.21,79.87,1800100
2025-03-31,80.66,81.14,78.52,78.73,1844600
2025-04-01,81.42,81.5,80.21,80.71,967200
2025-04-02,82.41,82.42,80.84,81.02,1485400
2025-04-03,80.4,81.57,79.94,80.26,2198500
2025-04-04,75.95,78.76,75.5,78.58,2259400
2025-04-07,75.02,75.95,73.14,73.73,1686700
2025-04-08,74.54,76.73,73.76,76.45,1650400
2025-04-09,76.88,77.42,73.02,73.82,1722400
2025-04-10,74.37,75.68,73.46,75.67,2131300
2025-04-11,75.39,75.79,74.19,74.38,1299700
2025-04-14,76.92,77.65,75.92,76.52,1193100
