Date,Close,High,Low,Open,Volume
2025-01-02,112.56,113.06,112.07,112.52,143400
2025-01-03,113.8,113.87,112.6,112.6,124000
2025-01-06,109.89,114.35,109.68,114.02,201200
2025-01-07,110.42,110.81,109.89,110.38,239500
2025-01-08,110.1,110.42,108.96,110.07,198100
2025-01-09,110.52,110.87,109.75,110.05,94100
2025-01-10,109.43,110.57,108.21,109.87,236200
2025-01-13,109.72,109.91,107.41,108.72,223900
2025-01-14,110.78,111.31,110.09,110.09,213200
2025-01-15,110.36,112.05,110.26,111.61,200600
2025-01-16,109.69,110.54,109.29,110.54,261000
2025-01-17,111.56,111.68,109.46,109.88,181700
2025-01-20,111.42,112.24,111.12,111.63,37800
2025-01-21,111.69,111.88,110.84,111.42,162600
2025-01-22,114.63,114.74,110.34,111.69,187100
2025-01-23,115.8,116.83,114.4,114.61,192400
2025-01-24,116.03,116.36,115.17,115.52,169700
2025-01-27,112.81,115.45,112.66,115.45,274100
2025-01-28,112.57,113.42,111.58,113.42,184300
2025-01-29,113.71,114.16,111.74,111.74,196000
2025-01-30,113.94,115.76,113.41,114.19,271000
2025-01-31,111.92,115.34,111.79,113.92,265000
2025-02-03,108.17,109.96,106.71,108.5,496900
2025-02-04,108.07,109.52,107.27,108.77,265800
2025-02-05,108.91,109.27,107.87,108.27,190700
2025-02-06,108.77,110.16,108.46,108.77,208300
2025-02-07,109.05,109.37,108.08,108.8,362100
2025-02-10,111.47,111.93,109.62,109.7,214100
2025-02-11,109.86,110.89,109.46,110.86,182300
2025-02-12,109.22,110.75,108.91,109.43,179500
2025-02-13,109.9,110.43,109.13,109.64,202000
2025-02-14,109.02,110.47,108.83,110.19,202300
2025-02-18,108.79,109.14,108.47,108.96,288400
2025-02-19,110.65,110.8,108.79,109.27,192300
2025-02-20,108.4,110.35,108.02,110.35,176100
2025-02-21,107.87,108.92,107.63,108.92,229100
2025-02-24,108.48,109.12,107.56,107.68,240400
2025-02-25,119.34,119.41,111.11,111.16,592700
2025-02-26,127.49,128.76,120.86,121.54,898700
2025-02-27,121.58,126.22,121.3,126.22,681300
2025-02-28,122.66,123.22,120.44,121.54,597700
2025-03-03,120.84,123.86,120.43,122.44,229500
2025-03-04,117.42,120.56,117.38,119.43,313000
2025-03-05,118.91,119.43,117.25,117.94,352600
2025-03-06,118.42,118.95,117.48,117.75,264000
2025-03-07,118.22,118.54,116.77,117.92,296200
2025-03-10,120.27,120.28,116.69,116.69,470200
2025-03-11,115.81,119.56,115.65,118.76,463000
2025-03-12,117.66,117.85,115.52,115.91,368000
2025-03-13,115.51,117.14,115.03,116.75,304200
2025-03-14,117.84,117.88,115.78,115.78,291100
2025-03-17,118.84,118.96,117.48,117.66,300600
2025-03-18,117.39,119.16,116.87,118.74,203800
2025-03-19,119.47,119.48,117.59,117.59,172800
2025-03-20,119.13,119.26,118.15,118.73,149500
2025-03-21,117.19,118.53,116.98,118.53,312600
2025-03-24,118.87,119.45,117.84,117.84,238000
2025-03-25,119.18,119.61,118.37,118.85,131400
2025-03-26,119.03,120.51,118.53,119.6,203500
2025-03-27,118.87,119.93,117.57,118.54,221100
2025-03-28,117.13,119.5,116.62,118.81,221500
2025-03-31,118.92,119.15,115.83,115.83,343800
2025-04-01,119.4,120.3,118.11,118.84,227600
2025-04-02,121.67,121.72,118.91,119.38,240900
2025-04-03,118.85,122.27,118.64,119.32,417100
2025-04-04,113.88,117.16,113.5,116.84,415300
2025-04-07,113.41,114.62,109.41,110.73,410500
2025-04-08,112.09,116.78,110.77,116.45,432000
2025-04-09,120.17,120.7,111.64,112.06,285600
2025-04-10,116.04,118.57,114.85,118.57,255500
2025-04-11,118.25,118.26,115.53,116.07,188000
2025-04-14,119.02,119.35,117.95,118.95,230400
2025-04-15,120.73,121.04,118.95,119.02,317500
2025-04-16,120.11,120.83,119.35,120.48,290300
2025-04-17,120.52,121.16,119.86,120.94,133300
2025-04-21,118.78,119.67,117.33,119.64,153100
2025-04-22,117.12,121.26,116.99,119.44,272000
2025-04-23,120.04,120.79,118.9,119.31,292500
2025-04-24,121.77,121.85,119.82,120.44,157500
2025-04-25,120.28,121.38,119.51,120.59,145000
2025-04-28,120.59,121.44,120.05,120.33,133500
2025-04-29,120.64,121.31,120.12,120.15,179500
2025-04-30,120.64,120.93,118.98,120.19,457500
2025-05-01,124.13,124.56,120.28,120.68,217700
2025-05-02,126.18,126.52,123.91,125.24,255400
2025-05-05,126.2,126.93,125.26,125.62,125200
2025-05-06,125.44,126.47,124.98,125.61,238100
2025-05-07,125.9,126.27,124.89,125.63,252100
2025-05-08,130.26,131.6,127.16,128.41,370700
2025-05-09,130.94,131.03,129.09,130.32,245100
2025-05-12,130.38,132.96,130.01,132.47,216000
2025-05-13,131.5,133.19,130.78,130.78,285600
2025-05-14,131.9,132.81,130.44,131.29,367700
2025-05-15,138.96,139.27,133.82,133.82,434600
2025-05-16,141.17,141.99,138.06,138.96,511500
2025-05-20,141.28,143.52,139.18,139.18,430500
2025-05-21,138.54,142.01,138.22,141.06,449400
2025-05-22,139.34,139.73,137.78,138.5,588300
2025-05-23,139.4,140.33,137.85,137.85,253200
2025-05-26,141.03,141.03,139.1,140.57,120100
2025-05-27,142.45,142.88,140.58,141.69,327600
2025-05-28,143.5,143.94,142.15,142.15,232800
2025-05-29,142.73,143.49,142.18,143.49,288500
2025-05-30,140.74,143.11,140.19,142.35,682000
2025-06-02,142.91,143.16,139.7,140.18,193300
2025-06-03,143.52,143.61,141.81,142.9,209400
2025-06-04,144.08,144.59,142.4,143.24,273200
2025-06-05,143.37,144.59,142.95,143.6,253900
2025-06-06,145.07,145.15,143.75,143.82,270100
2025-06-09,143.26,145.53,143.02,144.82,155600
2025-06-10,143.83,144.22,142.64,143.42,241600
2025-06-11,146.21,147.13,143.91,143.95,354000
2025-06-12,146.42,147.12,146.0,146.0,211000
2025-06-13,144.41,146.5,144.11,145.46,311100
2025-06-16,146.27,146.39,144.88,145.01,272200
2025-06-17,144.87,145.89,144.2,145.62,236200
2025-06-18,145.28,145.85,144.47,144.87,202500
2025-06-19,145.13,145.54,144.2,144.22,51100
2025-06-20,144.14,146.31,143.56,145.53,591500
2025-06-23,145.95,146.18,144.02,144.02,151800
2025-06-24,146.33,147.21,145.95,146.66,142500
2025-06-25,146.53,147.31,145.72,146.4,240300
2025-06-26,147.21,147.36,145.52,146.47,338700
2025-06-27,149.76,149.83,146.73,146.96,500500
2025-06-30,147.94,150.71,146.98,150.45,386400
2025-07-02,147.49,147.7,145.9,147.29,358000
2025-07-03,148.8,149.52,147.89,147.89,144700
2025-07-04,148.81,149.2,148.04,148.04,72100
2025-07-07,149.56,150.02,147.61,148.84,183200
2025-07-08,149.06,149.83,148.76,149.77,270700
2025-07-09,150.2,150.68,149.18,149.37,169700
2025-07-10,150.66,151.05,149.07,149.24,169600
2025-07-11,150.73,151.02,149.62,149.67,184400
2025-07-14,152.98,153.39,150.43,150.75,210100
2025-07-15,152.27,153.37,152.04,153.12,191500
2025-07-16,151.01,152.86,149.24,152.51,221700
2025-07-17,152.46,152.8,151.03,151.03,182900
2025-07-18,153.51,153.55,152.04,152.46,176400
2025-07-21,152.59,154.65,152.38,154.37,113300
2025-07-22,150.8,152.74,150.46,151.34,147500
2025-07-23,151.7,152.37,150.64,151.32,223300
2025-07-24,151.04,152.26,150.84,151.96,153500
2025-07-25,150.91,152.11,150.54,151.4,251600
2025-07-28,148.87,150.9,148.78,150.83,232900
2025-07-29,149.34,149.73,148.77,148.99,577500
2025-07-30,152.04,152.34,149.16,149.16,340100
2025-07-31,151.23,153.5,150.72,152.04,339300
2025-08-01,149.68,150.24,147.23,150.24,285200
2025-08-05,153.01,154.78,152.15,153.45,335800
2025-08-06,151.55,153.12,151.05,153.12,196700
2025-08-07,149.25,151.52,148.7,150.71,390400
2025-08-08,150.51,151.0,149.83,149.95,280400
2025-08-11,150.07,150.5,148.77,150.5,189300
2025-08-12,150.09,150.31,148.83,149.99,196500
2025-08-13,149.31,150.11,147.43,149.69,406800
2025-08-14,146.59,146.78,135.79,137.52,972900
2025-08-15,146.7,148.6,144.99,146.66,350900
2025-08-18,146.34,147.16,145.59,146.73,158800
2025-08-19,148.71,148.74,146.5,146.78,215900
2025-08-20,146.94,149.53,146.92,148.77,431500
2025-08-21,150.23,150.41,146.72,147.36,348100
2025-08-22,153.02,153.14,149.94,149.94,417100
2025-08-25,149.84,152.64,149.82,152.5,225500
2025-08-26,150.14,150.8,149.44,149.93,444600
2025-08-27,150.76,151.0,149.4,149.4,198700
2025-08-28,151.17,151.78,149.91,151.78,215700
2025-08-29,149.05,151.72,148.9,151.59,247200
2025-09-02,149.02,149.63,147.74,148.24,235100
2025-09-03,150.01,150.05,148.85,149.29,209400
2025-09-04,150.94,151.92,149.83,150.01,245000
2025-09-05,149.64,151.76,148.0,150.96,243200
2025-09-08,148.32,149.49,147.85,149.49,382500
2025-09-09,149.18,149.57,147.47,149.57,448200
2025-09-10,150.98,151.11,149.14,149.42,242800
2025-09-11,155.06,155.11,150.94,150.94,250000
2025-09-12,152.91,155.02,152.89,153.93,214800
2025-09-15,152.53,153.17,151.67,153.0,318800
2025-09-16,151.29,152.91,150.78,152.91,224500
2025-09-17,150.41,152.43,150.23,150.6,205000
2025-09-18,149.77,152.27,149.73,150.06,255500
2025-09-19,151.01,151.85,149.47,151.85,1594600
2025-09-22,154.58,154.7,149.98,150.23,438400
2025-09-23,147.93,154.06,147.16,153.94,386700
2025-09-24,148.74,149.66,147.66,147.96,293500
2025-09-25,149.86,150.11,147.44,148.41,347400
2025-09-26,147.72,150.33,147.33,149.94,217600
2025-09-29,147.1,148.33,146.78,147.69,303600
2025-09-30,150.09,150.15,147.02,147.07,420600
2025-10-01,151.86,152.25,149.67,149.83,284900
2025-10-02,152.37,152.78,151.31,152.13,165100
2025-10-03,154.2,154.49,152.1,152.1,151600
2025-10-06,154.8,156.34,153.98,154.81,292000
2025-10-07,155.23,155.82,154.16,154.85,212500
2025-10-08,157.82,157.85,154.71,155.24,336100
2025-10-09,155.94,158.33,155.63,157.9,183500
2025-10-10,153.23,156.73,153.13,156.73,250400
2025-10-14,157.99,158.31,154.49,154.51,458100
2025-10-15,157.58,159.99,155.84,158.0,301700
2025-10-16,154.93,158.39,154.78,158.38,332100
2025-10-17,154.08,154.83,153.4,154.64,287600
