Date,Close,High,Low,Open,Volume
2025-01-02,33.25,33.92,32.93,33.91,16800
2025-01-03,33.1,33.52,32.87,33.17,56300
2025-01-06,32.99,33.38,32.76,32.87,44200
2025-01-07,32.99,33.47,32.74,33.23,93400
2025-01-08,32.07,32.85,31.86,32.84,62800
2025-01-09,31.72,32.49,31.53,31.78,11500
2025-01-10,31.26,31.85,31.18,31.72,94300
2025-01-13,30.65,31.51,30.6,31.51,72500
2025-01-14,31.01,31.24,30.53,30.85,43500
2025-01-15,30.94,31.4,30.8,31.27,48800
2025-01-16,31.23,31.61,30.47,31.21,57800
2025-01-17,30.86,31.28,30.78,31.24,47400
2025-01-20,30.98,31.09,30.6,30.82,11200
2025-01-21,30.84,31.07,30.4,30.64,35800
2025-01-22,30.89,31.1,30.35,30.57,37300
2025-01-23,31.32,31.4,30.59,30.59,29000
2025-01-24,31.4,31.84,31.31,31.6,24800
2025-01-27,31.34,31.48,30.98,30.98,29800
2025-01-28,31.7,31.72,30.71,31.11,43600
2025-01-29,31.31,31.6,30.62,31.56,43500
2025-01-30,31.44,31.67,31.15,31.15,41400
2025-01-31,30.29,31.44,29.9,31.44,81200
2025-02-03,30.16,30.35,28.88,29.05,83100
2025-02-04,29.76,30.31,29.27,30.31,69900
2025-02-05,30.18,30.27,29.48,29.7,90800
2025-02-06,30.42,30.55,29.85,30.36,39900
2025-02-07,30.61,30.73,30.03,30.61,65700
2025-02-10,30.05,30.52,29.95,30.52,26000
2025-02-11,30.06,30.11,29.69,29.82,47600
2025-02-12,29.6,29.95,29.48,29.66,73900
2025-02-13,29.71,29.85,29.5,29.8,41000
2025-02-14,29.64,29.71,29.5,29.71,57500
2025-02-18,29.67,29.77,29.47,29.47,44000
2025-02-19,29.88,30.0,29.55,30.0,39900
2025-02-20,30.54,30.77,29.73,29.88,119900
2025-02-21,30.61,30.75,30.22,30.64,58400
2025-02-24,30.81,31.05,30.15,30.63,51400
2025-02-25,27.59,29.43,26.87,29.43,494500
2025-02-26,26.58,27.33,26.26,27.14,398000
2025-02-27,26.88,27.18,26.45,26.64,171200
2025-02-28,26.99,27.05,26.66,26.83,130500
2025-03-03,26.84,27.14,26.68,27.01,98100
2025-03-04,26.04,26.48,25.36,26.45,165100
2025-03-05,26.13,26.41,25.89,26.03,79800
2025-03-06,25.78,26.36,25.48,26.13,127100
2025-03-07,26.2,26.4,25.65,25.65,114300
2025-03-10,25.79,26.21,25.49,26.21,129900
2025-03-11,25.7,26.31,25.57,25.88,98200
2025-03-12,25.44,25.94,25.19,25.94,109600
2025-03-13,25.13,25.74,25.01,25.51,118500
2025-03-14,25.02,25.44,24.9,25.23,81200
2025-03-17,25.51,25.64,24.65,25.07,84100
2025-03-18,25.16,25.51,24.97,25.51,58400
2025-03-19,24.93,25.31,24.81,25.15,122500
2025-03-20,25.01,25.38,24.73,24.75,125500
2025-03-21,25.01,25.1,24.61,24.63,129400
2025-03-24,25.27,25.4,25.06,25.06,70800
2025-03-25,25.23,25.58,25.16,25.32,58800
2025-03-26,25.35,25.53,25.13,25.3,61000
2025-03-27,25.12,25.45,24.99,25.45,78800
2025-03-28,24.44,25.27,24.31,25.13,117700
2025-03-31,23.8,24.28,23.6,24.28,190800
2025-04-01,24.47,24.49,23.69,23.69,147400
2025-04-02,24.48,24.9,24.09,24.9,95400
2025-04-03,22.28,23.54,21.16,23.25,364100
2025-04-04,22.37,22.89,21.41,21.68,165300
2025-04-07,22.35,22.96,21.42,21.82,146900
2025-04-08,21.47,23.05,21.3,22.82,123000
2025-04-09,23.14,23.33,20.74,21.24,230300
2025-04-10,22.17,22.84,21.92,22.84,82000
2025-04-11,22.15,22.29,21.17,21.91,452800
2025-04-14,22.62,22.85,22.31,22.34,84400
2025-04-15,22.03,22.94,22.02,22.49,266900
2025-04-16,21.63,22.06,21.33,21.86,174100
2025-04-17,21.91,22.2,21.35,21.35,302900
2025-04-21,21.89,21.98,21.5,21.87,56400
2025-04-22,22.03,22.31,21.82,22.24,100300
2025-04-23,22.1,22.95,22.05,22.27,204800
2025-04-24,23.16,23.6,22.09,22.26,695300
2025-04-25,23.88,24.09,22.87,23.16,132600
2025-04-28,24.07,24.15,23.77,23.95,92000
2025-04-29,23.73,24.04,23.64,23.99,78200
2025-04-30,24.12,24.19,23.37,23.73,128100
2025-05-01,22.14,24.66,21.66,24.45,260600
2025-05-02,22.69,22.75,21.77,22.33,124300
2025-05-05,22.39,22.81,22.1,22.1,97200
2025-05-06,22.26,22.6,22.11,22.11,58900
2025-05-07,23.75,23.77,22.42,22.6,145600
2025-05-08,24.02,24.3,23.78,23.8,96700
2025-05-09,24.18,24.43,23.91,24.02,53200
2025-05-12,25.57,25.93,24.96,24.96,94200
2025-05-13,25.15,25.65,25.12,25.45,50300
2025-05-14,25.17,25.4,24.56,24.56,44600
2025-05-15,24.8,25.04,24.72,24.88,41500
2025-05-16,25.51,25.77,24.75,24.75,75200
2025-05-20,25.12,25.91,24.77,25.49,45900
2025-05-21,24.67,25.28,24.53,25.19,58100
2025-05-22,24.4,24.71,24.34,24.37,41500
2025-05-23,24.21,24.5,24.01,24.35,36500
2025-05-26,24.75,24.91,23.98,23.98,19500
2025-05-27,24.95,25.13,24.24,24.24,53100
2025-05-28,24.1,24.77,23.96,24.63,95900
2025-05-29,24.01,24.45,23.8,24.33,89600
2025-05-30,23.74,24.14,23.4,23.56,145700
2025-06-02,23.36,23.94,23.15,23.73,112000
2025-06-03,24.27,24.36,23.16,23.16,109100
2025-06-04,24.2,24.53,24.04,24.16,61200
2025-06-05,23.66,24.33,23.63,24.16,102700
2025-06-06,23.39,23.78,23.31,23.78,72400
2025-06-09,23.66,23.66,23.1,23.26,153900
2025-06-10,23.99,24.25,23.6,23.64,76800
2025-06-11,23.47,23.99,23.43,23.99,193600
2025-06-12,23.24,23.6,23.19,23.45,145500
2025-06-13,23.3,23.44,22.89,23.15,116400
2025-06-16,23.43,23.48,22.9,23.3,129500
2025-06-17,23.26,23.56,23.07,23.38,100900
2025-06-18,23.26,23.76,23.19,23.23,111200
2025-06-19,23.15,23.57,23.05,23.3,59300
2025-06-20,23.08,23.32,22.28,22.28,920500
2025-06-23,22.97,23.15,22.87,22.95,102100
2025-06-24,23.26,23.53,23.03,23.17,150900
2025-06-25,23.12,23.42,23.03,23.42,95600
2025-06-26,22.98,23.23,22.93,23.12,80200
2025-06-27,22.6,23.1,22.52,23.05,409500
2025-06-30,22.98,23.06,22.53,22.53,615600
2025-07-02,23.57,23.67,23.02,23.07,821500
2025-07-03,23.73,24.05,23.65,23.78,254900
