Date,Close,High,Low,Open,Volume
2025-01-02,29.36,29.4,28.75,28.75,135900
2025-01-03,28.62,29.2,28.48,29.17,125700
2025-01-06,28.13,28.63,27.69,28.62,198400
2025-01-07,28.22,29.41,27.93,28.59,209400
2025-01-08,29.04,29.2,28.33,28.35,237000
2025-01-09,29.1,29.53,28.93,29.33,94800
2025-01-10,28.78,29.45,28.6,29.28,251300
2025-01-13,28.49,28.68,27.83,28.4,263600
2025-01-14,28.92,29.44,28.31,28.5,306300
2025-01-15,28.82,29.32,28.69,29.32,349700
2025-01-16,27.71,28.99,27.66,28.93,251200
2025-01-17,27.97,28.11,26.88,27.36,271800
2025-01-20,28.16,28.16,27.62,27.62,105100
2025-01-21,29.28,29.34,27.74,28.25,449500
2025-01-22,29.17,29.8,28.95,29.27,315500
2025-01-23,28.99,29.05,28.26,28.76,262000
2025-01-24,30.32,30.98,29.39,29.6,362400
2025-01-27,29.3,29.89,29.04,29.81,329900
2025-01-28,29.33,29.67,28.97,29.3,140200
2025-01-29,29.82,30.1,29.34,29.34,310600
2025-01-30,31.02,31.2,30.18,30.5,333200
2025-01-31,30.83,31.65,30.75,31.25,220000
2025-02-03,31.39,32.13,30.73,30.82,235700
2025-02-04,32.11,32.2,31.11,31.75,294400
2025-02-05,33.22,34.15,32.17,32.51,358600
2025-02-06,33.1,33.6,32.48,33.33,177600
2025-02-07,33.15,33.43,32.58,33.12,196200
2025-02-10,33.3,34.34,33.06,33.92,241500
2025-02-11,34.08,34.39,32.69,32.92,273800
2025-02-12,34.11,34.62,33.5,33.91,284200
2025-02-13,34.35,34.48,33.76,34.06,209000
2025-02-14,33.5,34.86,33.49,34.23,283800
2025-02-18,34.28,34.8,33.5,33.95,267300
2025-02-19,33.28,34.32,33.23,34.08,220000
2025-02-20,35.12,35.89,33.43,34.49,562000
2025-02-21,33.03,35.27,32.94,35.12,423700
2025-02-24,32.2,33.45,31.98,33.38,312000
2025-02-25,31.66,32.01,30.69,31.71,247000
2025-02-26,32.58,32.58,30.9,31.52,255300
2025-02-27,31.66,32.5,31.63,31.87,240400
2025-02-28,31.59,31.79,30.81,31.03,674400
2025-03-03,31.9,32.7,31.71,31.9,237800
2025-03-04,31.67,32.35,30.89,31.86,360500
2025-03-05,32.68,32.87,31.57,31.62,197300
2025-03-06,31.88,32.69,31.43,32.24,178600
2025-03-07,32.47,32.72,31.85,32.49,258900
2025-03-10,30.83,32.05,30.66,31.98,356700
2025-03-11,32.47,32.67,31.13,31.13,398000
2025-03-12,33.17,33.64,32.21,32.25,180200
2025-03-13,34.11,34.5,33.18,33.18,306100
2025-03-14,35.12,35.8,34.57,34.9,297400
2025-03-17,36.16,36.22,34.74,34.74,312000
2025-03-18,37.35,38.25,36.79,36.81,439600
2025-03-19,37.46,37.8,36.62,37.25,301000
2025-03-20,37.39,37.99,36.61,36.86,359200
2025-03-21,36.51,37.49,36.31,36.73,968800
2025-03-24,35.87,37.2,35.47,36.54,235200
2025-03-25,38.52,38.7,36.03,36.37,352000
2025-03-26,37.37,39.4,37.31,38.52,360900
2025-03-27,38.39,38.49,37.5,37.9,199200
2025-03-28,38.4,39.47,38.22,38.7,374000
2025-03-31,39.85,40.04,37.46,38.75,335800
2025-04-01,39.81,40.25,39.23,39.89,361300
2025-04-02,39.46,40.0,38.94,39.5,200300
2025-04-03,39.4,40.27,37.1,37.32,576600
2025-04-04,36.71,39.37,36.12,38.21,729200
2025-04-07,36.49,37.94,35.0,35.5,416200
2025-04-08,35.96,38.0,35.63,37.65,386300
2025-04-09,37.58,38.79,36.36,37.16,378100
2025-04-10,39.6,40.0,37.64,38.23,405800
2025-04-11,43.88,43.95,40.45,40.59,782100
2025-04-14,43.93,46.39,43.88,44.21,469300
2025-04-15,43.91,44.3,42.01,43.94,500700
2025-04-16,48.24,48.59,44.81,45.45,473900
2025-04-17,47.24,48.3,46.41,47.55,508300
2025-04-21,48.61,49.07,47.36,49.04,621900
2025-04-22,45.89,49.05,45.43,48.71,425900
2025-04-23,45.39,46.39,43.24,43.55,728900
2025-04-24,44.47,46.3,44.38,46.13,627000
2025-04-25,44.89,45.33,43.17,43.24,241400
2025-04-28,44.21,44.68,43.69,44.65,374800
2025-04-29,44.33,44.84,43.73,43.9,259900
2025-04-30,44.65,44.66,43.22,43.62,360300
2025-05-01,42.97,43.59,42.18,43.45,411900
2025-05-02,43.59,43.99,42.85,43.49,203700
2025-05-05,44.86,44.98,43.9,44.98,134500
2025-05-06,46.99,47.02,45.32,46.0,308800
2025-05-07,45.45,46.71,45.02,45.7,268400
2025-05-08,44.45,45.98,43.73,45.44,318300
2025-05-09,44.56,44.8,42.88,44.65,485900
2025-05-12,40.89,42.68,40.38,42.28,448400
2025-05-13,41.2,42.0,41.04,41.32,334000
2025-05-14,40.05,40.66,39.25,39.7,297700
2025-05-15,41.15,41.18,39.97,40.68,412100
2025-05-16,41.19,41.22,39.5,39.83,323000
2025-05-20,42.92,43.14,41.42,41.42,255900
2025-05-21,44.26,44.62,43.61,44.01,312500
2025-05-22,43.46,44.7,43.43,44.18,199700
2025-05-23,44.49,44.63,43.52,44.34,167400
2025-05-26,44.74,45.0,43.88,43.88,121000
2025-05-27,44.59,45.12,43.85,43.91,176400
2025-05-28,44.84,45.15,44.07,44.43,191800
2025-05-29,43.95,44.93,43.89,44.93,175100
2025-05-30,44.06,44.24,43.44,43.79,426500
2025-06-02,46.4,47.04,44.84,45.26,263600
2025-06-03,46.27,46.49,45.46,45.75,249300
2025-06-04,45.84,46.95,45.72,46.58,374200
2025-06-05,46.82,48.27,46.18,46.92,426400
2025-06-06,46.33,49.0,46.15,47.01,444300
2025-06-09,45.01,46.11,44.96,45.8,251000
2025-06-10,44.75,45.86,44.56,45.03,237000
2025-06-11,45.75,46.0,44.9,44.9,265000
2025-06-12,48.29,49.05,46.31,46.73,375900
2025-06-13,48.33,49.25,48.2,49.25,399200
2025-06-16,46.08,47.49,45.89,47.49,396600
2025-06-17,46.78,47.13,45.49,46.42,294100
2025-06-18,45.8,46.95,45.69,46.68,272700
2025-06-19,45.54,45.65,45.16,45.62,58700
2025-06-20,43.56,45.63,43.42,44.97,826900
2025-06-23,44.15,45.33,43.56,43.56,326100
2025-06-24,43.71,43.82,41.37,43.01,363900
2025-06-25,44.0,44.53,43.4,43.68,198600
2025-06-26,44.1,44.26,43.47,43.85,219300
2025-06-27,42.38,42.45,41.62,42.4,290300
2025-06-30,44.42,44.68,42.44,42.67,248000
2025-07-02,43.17,44.74,42.9,44.44,364000
2025-07-03,43.92,43.92,42.79,43.01,145200
2025-07-04,43.78,44.34,43.67,43.67,46400
2025-07-07,44.73,44.76,42.76,43.33,258900
2025-07-08,43.1,44.64,42.02,44.48,305200
2025-07-09,43.38,43.45,42.86,43.18,239900
2025-07-10,43.75,44.53,42.98,43.45,265400
2025-07-11,43.85,44.73,43.2,44.15,136400
2025-07-14,43.64,44.61,43.46,43.98,154700
2025-07-15,43.09,44.1,42.55,43.77,189800
2025-07-16,42.3,43.37,42.08,43.37,239700
2025-07-17,42.49,42.49,41.11,41.81,219500
2025-07-18,42.82,43.19,42.03,43.02,249900
2025-07-21,44.12,44.76,43.31,43.58,244600
2025-07-22,44.61,44.91,43.94,44.91,484300
2025-07-23,43.42,44.49,43.22,44.18,229100
2025-07-24,42.69,43.42,42.53,43.0,187500
2025-07-25,42.85,43.46,42.15,42.32,204200
2025-07-28,41.25,42.0,39.68,42.0,614800
2025-07-29,40.68,41.49,40.39,41.49,414000
2025-07-30,39.32,40.57,39.0,40.37,695100
2025-07-31,39.03,39.8,38.8,39.47,220600
2025-08-01,39.2,39.84,38.89,39.82,401200
2025-08-05,41.25,41.54,39.82,40.85,421500
2025-08-06,42.08,42.15,41.02,41.13,520500
2025-08-07,41.68,42.68,40.15,42.68,699600
2025-08-08,41.16,42.62,40.55,41.59,561600
2025-08-11,41.94,41.97,40.16,40.16,340700
2025-08-12,42.51,42.85,41.94,41.96,348700
2025-08-13,42.62,43.3,42.49,42.64,421800
2025-08-14,41.95,43.07,41.83,42.39,291800
2025-08-15,42.52,42.72,41.31,41.72,284200
2025-08-18,42.2,43.17,42.06,42.44,424500
2025-08-19,40.08,42.36,40.01,42.17,322600
2025-08-20,41.03,41.15,40.28,40.49,302000
2025-08-21,41.47,41.6,40.96,41.19,280400
2025-08-22,42.72,43.1,40.8,41.16,329100
2025-08-25,42.65,43.38,42.45,42.72,231900
2025-08-26,43.37,43.81,42.05,42.77,227400
2025-08-27,43.6,43.74,42.5,43.3,267600
2025-08-28,43.97,44.34,43.29,44.0,334400
