Date,Close,High,Low,Open,Volume
2025-01-02,13.45,13.54,13.08,13.13,217100
2025-01-03,13.23,13.52,13.17,13.44,185900
2025-01-06,12.95,13.29,12.89,13.22,207100
2025-01-07,13.01,13.29,12.92,13.03,189700
2025-01-08,13.29,13.31,13.0,13.0,201200
2025-01-09,13.47,13.55,13.28,13.28,106200
2025-01-10,13.18,13.63,13.12,13.63,285300
2025-01-13,12.85,13.0,12.73,12.97,289300
2025-01-14,13.45,13.45,12.85,12.94,279800
2025-01-15,13.55,13.6,13.29,13.59,223600
2025-01-16,13.22,13.8,13.22,13.67,393200
2025-01-17,13.57,13.57,13.02,13.14,763400
2025-01-20,13.47,13.61,13.29,13.29,55500
2025-01-21,13.17,13.54,13.15,13.28,594000
2025-01-22,13.41,13.91,13.11,13.2,421600
2025-01-23,13.74,13.8,13.22,13.55,380800
2025-01-24,14.18,14.21,13.79,13.92,314300
2025-01-27,13.66,14.17,13.64,14.17,310600
2025-01-28,14.01,14.09,13.75,13.77,273900
2025-01-29,14.08,14.26,13.99,14.02,226100
2025-01-30,14.55,14.69,14.26,14.33,587100
2025-01-31,14.36,14.72,14.31,14.68,418400
2025-02-03,14.75,15.04,14.45,14.74,472700
2025-02-04,14.74,14.91,14.36,14.91,341400
2025-02-05,14.59,15.1,14.52,14.9,323200
2025-02-06,14.56,14.62,14.35,14.52,467900
2025-02-07,14.63,14.74,14.49,14.74,295800
2025-02-10,14.88,15.12,14.83,14.98,378900
2025-02-11,14.66,14.97,14.63,14.67,487300
2025-02-12,14.71,14.98,14.54,14.68,288800
2025-02-13,14.87,15.2,14.6,15.12,990000
2025-02-14,14.27,14.85,14.26,14.85,594300
2025-02-18,14.36,14.74,14.19,14.74,743300
2025-02-19,14.21,14.39,14.08,14.22,288100
2025-02-20,14.46,14.55,14.22,14.26,287200
2025-02-21,13.89,14.49,13.76,14.29,354700
2025-02-24,14.24,14.34,14.0,14.1,309800
2025-02-25,14.18,14.25,13.92,14.18,379900
2025-02-26,14.49,14.67,14.01,14.01,305300
2025-02-27,14.16,14.46,14.12,14.19,314800
2025-02-28,14.53,14.83,13.88,13.94,1555300
2025-03-03,14.51,14.95,14.4,14.78,298700
2025-03-04,14.66,14.87,14.26,14.73,333700
2025-03-05,15.1,15.16,14.45,14.51,395400
2025-03-06,14.94,15.31,14.89,14.95,187600
2025-03-07,15.2,15.33,14.85,14.9,329600
2025-03-10,14.4,15.21,14.39,15.1,433400
2025-03-11,14.97,15.05,14.42,14.67,430800
2025-03-12,15.23,15.28,14.74,14.8,374600
2025-03-13,15.6,15.76,15.24,15.24,620800
2025-03-14,15.61,15.8,15.54,15.77,323900
2025-03-17,16.02,16.03,15.48,15.48,263300
2025-03-18,15.93,16.25,15.86,16.25,261100
2025-03-19,16.13,16.27,15.76,15.99,198400
2025-03-20,15.8,16.05,14.44,15.4,978700
2025-03-21,15.82,15.83,15.37,15.6,717400
2025-03-24,15.97,16.12,15.71,15.83,586900
2025-03-25,16.55,16.72,15.93,16.03,372900
2025-03-26,16.26,16.6,16.17,16.6,440900
2025-03-27,16.96,16.96,16.45,16.49,391400
2025-03-28,16.84,17.13,16.53,17.0,518500
2025-03-31,17.14,17.22,16.53,17.17,429400
2025-04-01,16.69,17.24,16.49,17.2,383700
2025-04-02,16.46,16.77,16.13,16.7,783400
2025-04-03,16.54,16.92,15.69,15.72,1100000
2025-04-04,15.65,16.46,15.21,16.2,871200
2025-04-07,15.66,16.2,15.32,15.7,877900
2025-04-08,15.72,16.55,15.6,16.2,727700
2025-04-09,16.25,16.42,15.87,16.3,901200
2025-04-10,16.69,17.08,16.23,16.55,779800
2025-04-11,17.67,18.1,16.9,17.25,917800
2025-04-14,17.67,18.01,17.08,17.48,434400
2025-04-15,18.06,18.16,17.57,17.83,607300
2025-04-16,18.58,18.95,18.2,18.6,505100
2025-04-17,17.89,18.4,17.73,18.4,535600
2025-04-21,18.12,18.45,17.84,18.1,488000
2025-04-22,17.32,18.26,17.26,18.26,439000
2025-04-23,17.0,17.36,16.6,16.6,667300
2025-04-24,16.65,17.3,16.6,17.27,590500
2025-04-25,16.85,16.92,16.29,16.29,468800
2025-04-28,16.97,16.99,16.52,16.69,525800
2025-04-29,16.67,17.05,16.61,16.85,223300
2025-04-30,16.96,17.02,16.46,16.46,411400
2025-05-01,15.85,16.6,15.72,16.5,553800
2025-05-02,15.98,16.08,15.72,16.04,258700
2025-05-05,16.67,16.76,16.17,16.59,273600
2025-05-06,17.84,17.84,16.96,16.98,525400
2025-05-07,17.84,18.05,17.4,17.4,458400
2025-05-08,17.78,18.18,17.5,18.04,356400
2025-05-09,18.11,18.2,17.66,18.09,390100
2025-05-12,16.9,17.47,16.74,17.28,511900
2025-05-13,16.78,17.15,16.76,16.85,334400
2025-05-14,16.42,17.06,16.38,16.8,575500
2025-05-15,16.61,16.8,16.43,16.56,674000
2025-05-16,16.81,16.82,16.17,16.17,463100
2025-05-20,17.58,17.7,17.08,17.24,338300
2025-05-21,18.41,18.47,17.76,17.76,501900
2025-05-22,18.19,18.37,18.02,18.2,470300
2025-05-23,18.67,18.81,18.22,18.48,344700
2025-05-26,18.86,18.91,18.6,18.69,141900
2025-05-27,18.64,18.71,18.25,18.47,553000
2025-05-28,18.99,19.0,18.33,18.74,277100
2025-05-29,18.66,18.99,18.58,18.94,247800
2025-05-30,18.23,18.8,18.23,18.52,2267200
2025-06-02,19.11,19.37,18.5,18.86,463400
2025-06-03,19.32,19.39,19.0,19.27,424000
2025-06-04,19.25,19.44,19.05,19.44,340700
2025-06-05,19.52,19.79,19.16,19.48,828200
2025-06-06,19.64,19.98,19.52,19.57,405200
2025-06-09,19.56,19.74,19.44,19.63,393400
2025-06-10,19.42,19.81,18.93,19.58,373000
2025-06-11,19.43,19.72,19.29,19.46,277400
