Date,Close,High,Low,Open,Volume
2025-01-02,83.17,83.57,81.96,82.01,509000
2025-01-03,82.69,83.58,82.59,83.33,567200
2025-01-06,80.45,82.79,80.37,82.67,376100
2025-01-07,81.16,83.07,80.74,81.62,641500
2025-01-08,82.72,83.34,81.1,81.15,786300
2025-01-09,83.76,83.91,82.69,82.69,209900
2025-01-10,82.02,84.2,81.68,83.73,818500
2025-01-13,79.78,81.04,79.58,81.03,417200
2025-01-14,81.26,81.97,79.96,80.01,668700
2025-01-15,82.81,82.85,80.5,81.95,590200
2025-01-16,82.27,84.14,82.18,83.64,339400
2025-01-17,83.04,83.47,81.37,82.08,581500
2025-01-20,83.55,83.98,82.03,83.01,101500
2025-01-21,84.81,86.12,83.26,83.26,591500
2025-01-22,84.37,85.5,83.98,85.4,415900
2025-01-23,84.26,84.32,82.68,83.63,517200
2025-01-24,85.57,86.03,84.96,85.33,612900
2025-01-27,84.61,84.9,83.4,84.64,452800
2025-01-28,86.43,86.48,84.27,84.92,669900
2025-01-29,86.68,88.01,86.35,86.52,556600
2025-01-30,90.89,91.1,87.76,88.31,705900
2025-01-31,90.15,91.67,89.76,90.97,729200
2025-02-03,91.99,92.74,90.19,90.19,891400
2025-02-04,91.11,92.13,90.44,91.47,593900
2025-02-05,93.89,95.14,92.05,92.05,867500
2025-02-06,95.13,95.2,93.39,94.24,794500
2025-02-07,94.0,96.43,93.73,95.4,749600
2025-02-10,96.31,96.83,95.07,95.96,596500
2025-02-11,94.93,95.88,94.86,95.44,414100
2025-02-12,96.99,97.04,94.65,94.65,563100
2025-02-13,97.68,98.19,95.91,97.1,547100
2025-02-14,95.15,97.92,94.83,97.89,632200
2025-02-18,96.94,97.35,95.82,95.99,909400
2025-02-19,98.28,98.58,95.4,96.7,909900
2025-02-20,98.54,99.21,97.41,98.08,753400
2025-02-21,96.3,98.07,96.22,97.8,547300
2025-02-24,97.63,98.05,95.74,97.3,425500
2025-02-25,98.08,98.28,95.62,96.57,759500
2025-02-26,100.22,100.74,97.58,97.58,520100
2025-02-27,97.64,100.41,97.07,99.34,557200
2025-02-28,99.31,99.49,95.74,96.08,2569700
2025-03-03,99.08,101.46,98.5,100.16,868700
2025-03-04,99.21,100.64,98.13,99.16,696700
2025-03-05,101.19,101.25,98.74,99.23,591200
2025-03-06,99.86,101.63,99.16,99.89,712100
2025-03-07,100.75,102.42,99.87,100.18,620700
2025-03-10,100.08,101.75,99.6,100.04,871400
2025-03-11,101.9,103.02,100.63,100.79,865200
2025-03-12,101.81,102.22,100.71,101.21,617000
2025-03-13,104.41,105.55,102.27,102.43,688100
2025-03-14,105.42,107.09,103.77,106.5,606500
2025-03-17,107.93,108.44,105.72,106.59,881900
2025-03-18,107.36,109.82,106.25,109.79,907900
2025-03-19,108.54,108.71,106.4,107.44,617900
2025-03-20,107.56,109.15,106.82,107.59,601500
2025-03-21,107.0,107.23,105.2,107.1,2138900
2025-03-24,106.68,107.81,106.44,106.48,511200
2025-03-25,107.86,108.72,107.1,107.88,836200
2025-03-26,106.89,108.43,106.59,108.43,447000
2025-03-27,109.03,109.41,107.61,108.19,477200
2025-03-28,109.39,110.72,108.34,109.86,1106500
2025-03-31,111.02,111.56,107.95,110.02,1201500
2025-04-01,109.54,111.56,108.07,111.33,860900
2025-04-02,110.81,111.01,108.22,110.41,829900
2025-04-03,110.23,112.48,103.04,103.36,971700
2025-04-04,100.56,109.2,100.43,107.52,1651700
2025-04-07,100.29,104.78,95.82,97.64,1326400
2025-04-08,100.22,104.16,99.12,103.88,1442600
2025-04-09,104.98,106.33,101.65,102.39,952400
2025-04-10,108.52,109.79,103.7,105.33,1188400
2025-04-11,113.63,114.73,110.31,110.31,1000000
2025-04-14,113.8,115.56,111.47,112.93,750600
2025-04-15,116.01,116.3,113.19,114.75,748800
2025-04-16,117.18,119.5,115.95,119.5,844300
2025-04-17,115.93,117.11,114.71,117.11,396100
2025-04-21,117.4,120.15,116.26,119.21,644800
2025-04-22,115.02,118.56,114.49,118.38,1070100
2025-04-23,112.77,113.55,109.05,110.47,1164600
2025-04-24,113.46,114.04,111.82,113.45,548000
2025-04-25,112.73,113.15,110.26,110.27,633700
2025-04-28,113.0,113.04,110.78,112.13,893200
2025-04-29,112.82,113.38,112.01,112.01,623100
2025-04-30,114.68,114.72,112.07,112.08,1085900
2025-05-01,111.85,112.44,110.65,111.91,605900
2025-05-02,111.27,113.12,110.06,113.0,932100
2025-05-05,114.76,115.16,112.46,114.56,433200
2025-05-06,117.65,117.81,115.16,116.16,560900
2025-05-07,117.04,117.35,115.2,115.56,887000
2025-05-08,114.57,117.2,114.52,116.11,980300
2025-05-09,119.12,120.05,114.78,116.1,803400
2025-05-12,110.08,114.11,109.66,114.11,748200
2025-05-13,108.98,111.09,107.97,110.99,1142700
2025-05-14,106.5,106.85,104.97,106.11,1298800
2025-05-15,109.57,109.62,106.99,107.9,840100
2025-05-16,109.36,109.37,106.74,107.63,923500
2025-05-20,115.01,115.22,111.12,111.16,704200
2025-05-21,117.8,118.12,115.47,115.83,1146000
2025-05-22,116.85,117.8,116.32,117.2,625600
2025-05-23,118.47,119.25,117.35,118.51,528200
2025-05-26,119.18,119.84,117.33,117.8,196600
2025-05-27,117.83,118.6,115.99,116.13,969400
2025-05-28,119.07,119.07,117.13,118.2,746500
